v_R_System.Name0,v_GS_NETWORK_ADAPTER_CONFIGURATION.MACAddress0,v_GS_OPERATING_SYSTEM.Caption0,v_R_System.Resource_Domain_OR_Workgr0,v_GS_NETWORK_ADAPTER_CONFIGURATION.IPAddress0,v_GS_PC_BIOS.SerialNumber0,v_GS_SYSTEM_ENCLOSURE.ChassisTypes0,v_R_System.Client_Version0,v_R_System.FQDN,v_GS_NETWORK_ADAPTER_CONFIGURATION.DNSHostName0,v_GS_WORKSTATION_STATUS.LastHWScan,v_GS_COMPUTER_SYSTEM.UserName0,v_R_System.ResourceID,v_GS_COMPUTER_SYSTEM_PRODUCT.UUID0,v_GS_Operating_Status
SRV-SQL02,C1:C9:F4:3E:69:7E,Windows Server 2022 Standard,FABRIKAM,10.1.2.37,D17S4FQ2Z9,17,5.00.9049.1000,srv-sql02.fabrikam.local,srv-sql02,07-04-2025 17:01,SYSTEM,16730469,20736ADB-044C-4244-8611-12018904AFCD,Operational
LT-IT051,08:0F:79:33:3B:4B,Windows Server 2022 Std,CONTOSO,10.1.21.197,HUQ0Q45K,9,5.00.9049.1000,lt-it051.contoso.local,lt-it051,26-03-2025 19:22,FABRIKAM\diana.johnston,16737344,,Operational
WS-IT653,5D:AC:D6:A1:35:95,Win Srv 2022 Standard,CONTOSO,10.1.11.234,MA9ZALQE,,5.00.9049.1000,,ws-it653,15-04-2025 18:39,CONTOSO\debra.wright,16791778,B47A79FA-CB4F-4CA2-8AF6-82BCFF7F769E,Operational
LT-IT069,24:B7:E8:B8:80:BB,Windows Server 2019 Standard,FABRIKAM,10.1.21.198,8Z5Z2PNS,8,5.00.9040.1001,lt-it069.fabrikam.local,lt-it069,11-04-2025 08:08,FABRIKAM\kristi.moore,16748807,7EA7FB76-9B0F-4DE3-8F13-9F6BCC9E4B68,Operational
WS-IT714,29:35:9F:F2:86:BB,Win Srv 2022 Standard,CORP,10.1.11.233,OUKHDEC,5,5.00.9040.1001,ws-it714.corp.local,ws-it714,07-04-2025 13:59,CORP\matthew.garcia,16778571,EA2CCD4C-B3A5-4198-BFC1-ABC2662DECF5,Operational
WS-IT554,C9:EA:E9:86:13:15,Win Srv 2022 Standard,CONTOSO,10.1.11.232,UKF5G8S,4,5.00.9040.1001,ws-it554.contoso.local,ws-it554,12-04-2025 17:13,CORP\joanna.garcia,16791506,814F817B-0751-4DD7-A6CD-81C6550FDB97,Operational
LT-IT052,68:BD:F9:13:33:80,Windows Server 2019 Standard,CORP,10.1.21.199,P2FOGBN,,5.00.9049.1000,lt-it052.corp.local,lt-it052,07-04-2025 07:24,FABRIKAM\leroy.maldonado,16702348,D3A00470-D343-4E7E-B2A4-E7F2FACE9F5B,Operational
WS-IT565,FC:CF:3D:01:72:3F,Windows Server 2019 Standard,CONTOSO,10.1.11.231,NZHWO2D,17,5.00.9049.1000,ws-it565.contoso.local,ws-it565,29-03-2025 12:11,FABRIKAM\edwin.gomez,16776658,7FC951AC-B623-46B3-8C09-901175FF6596,Operational
LT-IT137,19:2A:6D:A5:D5:6B,Windows Server 2019 Standard,CONTOSO,10.1.21.196,Y8TKEG8,,5.00.9049.1000,lt-it137.contoso.local,lt-it137,01-04-2025 08:54,CONTOSO\kimberly.stevens,16724578,FBFEEF34-2DE9-4CA1-BECB-0AA23730A74D,Operational
LT-IT021,1D:20:75:78:B0:0E,Windows Server 2019 Standard,CORP,10.1.21.195,6HLI3N3,9,5.00.9049.1000,lt-it021.corp.local,lt-it021,27-03-2025 07:14,CORP\amanda.chang,,,Operational
WS-IT502,59:0D:A8:BA:08:25,Windows Server 2019 Standard,CONTOSO,10.1.11.227,ZTYT56I,17,5.00.9049.1000,ws-it502.contoso.local,ws-it502,02-04-2025 18:54,CORP\nicole.tucker,16732236,90E1339C-B8E3-4D94-A033-64375E370511,Operational
WS-IT238,34:94:99:C3:4A:1A,Windows Server 2019 Standard,CORP,10.1.11.228,G3SDO1M0,5,5.00.9049.1000,ws-it238.corp.local,ws-it238,27-03-2025 14:22,CONTOSO\lisa.vance,16772671,DDAD6F47-DEF9-4B1E-88BD-93F7C0B43AE7,Operational
LT-IT299,,Windows Server 2019 Standard,CONTOSO,,KNWEMOG,10,,lt-it299.contoso.local,lt-it299,26-03-2025 10:21,CONTOSO\larry.riley,16711743,E66DDF76-A877-4328-B68A-49887022EFBB,Operational
WS-IT250,B8:46:86:06:55:83,Windows Server 2019 Standard,CORP,10.1.11.229,AHCW89H,6,5.00.9049.1000,,ws-it250,19-04-2025 10:25,CORP\rita.palmer,16779704,,Operational
LT-IT332,D4:2A:89:30:01:F2,Win Srv 2022 Standard,FABRIKAM,,3Q9XFYH,14,5.00.9040.1001,lt-it332.fabrikam.local,lt-it332,05-04-2025 19:49,FABRIKAM\jasmine.harper,16785895,0E67D175-3048-424A-B6D7-317581346D51,Operational
,0D:EE:7D:F5:26:69,Windows Server 2022 Std,CONTOSO,10.1.11.226,LLDAO9G,3,5.00.9049.1000,ws-it430.contoso.local,ws-it430,01-04-2025 13:34,,16777276,90717529-8BE8-47FC-A0FD-D4CF26F3C7C4,Operational
,75:6E:8D:14:44:F8,Windows Server 2019 Standard,CORP,10.1.11.225,PKTH6W4,6,5.00.9049.1000,ws-it489.corp.local,ws-it489,12-04-2025 19:27,CONTOSO\nicholas.cummings,16717398,A5D37696-13E3-4838-A54B-CAEE546D1340,Operational
WS-IT176,75:06:5C:E1:13:55,Windows Server 2019 Standard,FABRIKAM,10.1.11.224,U5HV0PMM,3,5.00.9049.1000,ws-it176.fabrikam.local,ws-it176,19-04-2025 12:10,FABRIKAM\brian.fuentes,16734348,A24AE96D-4039-4589-8703-758584D567A3,Operational
WS-IT274,D1:D9:C7:96:D3:06,Windows Server 2022 Std,CORP,10.1.11.223,P53D86L,5,5.00.9049.1000,ws-it274.corp.local,ws-it274,19-04-2025 12:23,CONTOSO\richard.adams,16766451,63F67397-79ED-4542-8161-3E0109F0612E,Operational
LT-IT163,39:BC:0F:B2:01:05,Windows Server 2019 Standard,CORP,10.1.21.192,EKY6WL57,9,5.00.9040.1001,lt-it163.corp.local,lt-it163,13-04-2025 12:31,FABRIKAM\andrea.powell,16700478,89B59171-2729-4E49-ABB0-95050A528B5F,Operational
WS-IT093,21:81:B3:31:0C:8F,Windows Server 2022 Std,CONTOSO,10.1.11.222,DG82HQ2U,7,5.00.9049.1000,ws-it093.contoso.local,ws-it093,29-03-2025 19:54,FABRIKAM\amanda.smith,16745262,6299F1EB-B27F-4424-81B0-35831951DDB7,Operational
WS-IT227,9C:61:EA:08:C9:B4,Windows Server 2019 Standard,CORP,10.1.11.221,M6PTDJX,6,5.00.9049.1000,ws-it227.corp.local,ws-it227,16-04-2025 10:29,FABRIKAM\aaron.thomas,16756691,69EC0EA7-3F30-4C22-93D5-F9032E8D9431,Operational
LT-IT218,05:7F:18:F6:A4:04,Windows Server 2019 Standard,FABRIKAM,10.1.21.191,FII2U49,9,5.00.9049.1000,lt-it218.fabrikam.local,lt-it218,,FABRIKAM\kevin.berry,,C10BCDF2-90CA-4DFF-A5F5-232863D34C74,Operational
LT-IT241,E8:65:D3:A4:71:90,Windows Server 2019 Standard,CONTOSO,10.1.21.190,TUYJW9V,14,5.00.9049.1000,lt-it241.contoso.local,lt-it241,20-04-2025 11:00,CONTOSO\brandon.brooks,16759500,8CFA205D-36E0-453C-B793-9ADEBCD63F5B,Operational
WS-IT032,81:8D:88:EB:37:93,Windows Server 2019 Standard,CONTOSO,10.1.11.220,GL81132E,17,5.00.9049.1000,ws-it032.contoso.local,ws-it032,16-04-2025 16:39,CONTOSO\vicki.banks,16784655,0104F6BA-40AF-4A10-9ACB-C533E3AD6AB9,Operational
WS-IT296,D1:C1:DB:C8:C1:8E,Windows Server 2019 Standard,CORP,10.1.11.217,8WA8B0LVJZ,4,5.00.9040.1001,ws-it296.corp.local,,28-03-2025 16:50,,16775054,78715559-E744-4822-A814-C5C78C0EF027,Operational
LT-IT039,68:15:8C:DE:72:B1,Win Srv 2022 Standard,CONTOSO,10.1.21.167,9WMMDPX,14,5.00.9049.1000,lt-it039.contoso.local,,22-04-2025 08:07,,16717897,EA2B57E3-4BE8-4C41-8439-DDCD56CFA54A,Operational
WS-IT058,FC:C2:E5:C8:74:DB,Windows Server 2019 Standard,CORP,10.1.11.218,U0GDFZDIV2,17,5.00.9049.1000,ws-it058.corp.local,ws-it058,13-04-2025 07:11,CORP\taylor.peters,16745304,,Operational
LT-IT253,4D:6F:3A:70:90:77,Windows Server 2022 Std,FABRIKAM,10.1.21.168,K4L728E,14,5.00.9049.1000,lt-it253.fabrikam.local,lt-it253,18-04-2025 13:47,FABRIKAM\kelly.mcintyre,16756977,21E2E99F-8305-45D4-94C5-70EA4F1CAD3F,Operational
,B5:3A:BA:5B:F5:65,Windows Server 2019 Standard,FABRIKAM,10.1.11.219,OOBQVB1GF8,15,5.00.9049.1000,ws-it231.fabrikam.local,,16-04-2025 16:34,CONTOSO\susan.simmons,16774473,01B6AAC4-6CC8-41D9-8764-29240A46742C,Operational
WS-IT633,2D:8F:24:D2:10:BA,Windows Server 2022 Std,FABRIKAM,10.1.11.216,L7P3TDJU,15,5.00.9049.1000,ws-it633.fabrikam.local,ws-it633,29-03-2025 15:34,CORP\jeremy.kelly,16787402,2664BC5A-4CD2-4D75-9A4E-0AC6D9564358,Operational
WS-IT300,94:FA:C0:EE:EC:AF,Windows Server 2019 Standard,CORP,10.1.11.215,KYXNF17,5,,ws-it300.corp.local,ws-it300,05-04-2025 10:12,FABRIKAM\michelle.lozano,16724721,D6B6B35A-48DD-4430-8C00-4D66BE181EDB,Operational
LT-IT234,48:D6:72:54:32:19,Win Srv 2022 Standard,FABRIKAM,10.1.21.169,HR2AOZX,8,5.00.9049.1000,lt-it234.fabrikam.local,lt-it234,22-04-2025 13:55,FABRIKAM\nathan.huffman,16706076,2B45F0CB-58D6-4B86-8C75-D2C59DE17182,Operational
WS-IT509,51:1E:13:A0:05:B3,Windows Server 2019 Standard,CORP,10.1.11.214,ZE3D74IDO6,6,5.00.9049.1000,ws-it509.corp.local,ws-it509,21-04-2025 17:13,CORP\john.medina,16724501,BCEBFEE1-F4FA-442C-B881-170DBC021437,Operational
WS-IT239,18:7E:81:3A:C4:70,Win Srv 2022 Standard,CONTOSO,10.1.11.213,D2FRCNSXCM,4,5.00.9049.1000,ws-it239.contoso.local,ws-it239,01-04-2025 10:58,,16787637,81C265BB-1CDE-46A5-9E83-CF677B5AC093,Operational
LT-IT222,54:FA:37:E2:50:70,Windows Server 2019 Standard,FABRIKAM,10.1.21.166,7V5J6PI,9,5.00.9049.1000,lt-it222.fabrikam.local,lt-it222,20-04-2025 09:59,FABRIKAM\anthony.durham,,C23BDE87-6DFB-4C8B-95A0-A0C3425D2682,Operational
LT-IT301,F8:B4:41:2C:1B:2B,Windows Server 2019 Standard,CONTOSO,10.1.21.165,EKCOZ7Q,8,5.00.9049.1000,lt-it301.contoso.local,lt-it301,18-04-2025 10:18,CONTOSO\patrick.bailey,16720780,F7754CCC-7DDA-4887-848E-6928F100224D,Operational
LT-IT116,D5:E5:FF:90:13:B5,Windows Server 2019 Standard,CORP,10.1.21.164,FV84RBE,10,5.00.9049.1000,lt-it116.corp.local,lt-it116,28-03-2025 16:26,CORP\joseph.keller,16787227,D10D481F-77B3-4D40-96DA-3436B0A55E7A,Operational
WS-IT255,D0:40:EC:7D:82:85,Windows Server 2019 Standard,CORP,10.1.11.212,KJTM2SOT,7,5.00.9049.1000,ws-it255.corp.local,ws-it255,18-04-2025 13:44,,16737878,1738223C-9260-40BB-A899-C9A1CFCBFB46,Operational
LT-IT171,,Windows Server 2019 Standard,CONTOSO,10.1.21.163,YJEF0OA,10,5.00.9049.1000,lt-it171.contoso.local,,25-03-2025 12:30,CORP\bruce.williams,16722091,E8485904-B8E4-4FAE-AA5F-942058163C93,Operational
WS-IT626,B5:03:A0:D2:ED:61,Windows Server 2019 Standard,CONTOSO,10.1.11.211,DI5P2OO1M4,17,5.00.9049.1000,ws-it626.contoso.local,ws-it626,19-04-2025 16:17,,16763785,3398478B-772C-441B-84D7-DCD3AA448357,Operational
LT-IT290,51:AE:D7:A6:9E:2B,Windows Server 2022 Std,CORP,10.1.21.162,Z8FL3OOMV7,8,5.00.9049.1000,lt-it290.corp.local,,16-04-2025 17:06,FABRIKAM\elijah.johnson,16703024,,Operational
WS-IT517,91:DF:CE:62:52:99,Windows Server 2019 Standard,CONTOSO,10.1.11.210,RX03KGR,4,5.00.9049.1000,ws-it517.contoso.local,ws-it517,25-03-2025 14:16,CONTOSO\loretta.brown,16734590,8DB03790-379B-406F-85BA-377B1767B6B2,Operational
WS-IT451,B0:C5:4A:9C:67:64,Windows Server 2019 Standard,CORP,10.1.11.207,T7VNWS7,4,5.00.9049.1000,,ws-it451,01-04-2025 11:34,CORP\patricia.russell,16779889,E39ACC33-B6BF-4F29-BFBF-06F44A5BF20F,Operational
WS-IT200,D9:C5:77:9B:72:7C,Win Srv 2022 Standard,CONTOSO,10.1.11.208,SZJOLUZ,17,,,ws-it200,11-04-2025 08:10,,16789394,7B54025E-BEC0-4E93-A84C-69F30BF6E493,Operational
,00:F1:F6:0E:92:BE,Windows Server 2019 Standard,,10.1.11.209,2EAXI9OYL3,3,5.00.9040.1001,ws-it421.fabrikam.local,ws-it421,12-04-2025 08:10,CONTOSO\robert.miller,16700020,2F130568-C963-4838-B9BC-8A139A6B1FB2,Operational
LT-IT014,B4:62:EF:BA:19:DE,Windows Server 2022 Std,FABRIKAM,,PZV3RVI3CF,9,5.00.9049.1000,lt-it014.fabrikam.local,lt-it014,24-03-2025 16:01,CONTOSO\nathan.manning,16722327,3E438479-4E10-4065-A7BE-7DFD7E663115,Operational
WS-IT028,80:5B:DB:21:7C:E0,Win Srv 2022 Standard,CONTOSO,10.1.11.206,7CT24G2,15,,ws-it028.contoso.local,ws-it028,15-04-2025 17:51,CONTOSO\mary.dawson,16742719,B8685CC0-32BC-4BDA-A81C-40ED4423FE02,Operational
LT-IT064,A1:CE:6C:C6:54:60,Windows Server 2022 Std,CORP,10.1.21.160,LILDIQNHI7,9,5.00.9049.1000,lt-it064.corp.local,lt-it064,31-03-2025 15:43,FABRIKAM\gary.meyers,16769752,87AC85AD-4296-4AEA-AAB8-670B82AE479B,Operational
WS-IT320,3D:AB:AC:B6:82:AE,Windows Server 2019 Standard,FABRIKAM,10.1.11.205,MFA1ZEKG,6,5.00.9049.1000,ws-it320.fabrikam.local,ws-it320,27-03-2025 16:05,CONTOSO\david.roberts,16761305,19CE7DED-4285-4D5F-B29C-5A8E512CF083,Operational
SRV-SQL28,A1:E8:31:1E:E9:FF,Windows Server 2022 Standard,CORP,10.1.2.38,1SC8B07YB4,18,5.00.9049.1000,,srv-sql28,16-04-2025 15:20,SYSTEM,16719009,544C401B-7E9C-4688-933D-4B88E12171CA,Operational
WS-IT613,F5:CB:D2:F5:F2:F4,Win Srv 2022 Standard,CONTOSO,10.1.11.204,7L9DN57,7,5.00.9049.1000,ws-it613.contoso.local,ws-it613,05-04-2025 07:35,CONTOSO\nancy.reilly,16788444,D732CBE6-076A-4E76-A6EA-94A059AB76B3,Operational
WS-IT127,35:85:CF:15:E7:72,Win Srv 2022 Standard,FABRIKAM,10.1.11.203,F455Z0S,5,5.00.9049.1000,ws-it127.fabrikam.local,ws-it127,15-04-2025 08:55,FABRIKAM\julie.parks,16778333,46589F11-6DE5-4DCF-B8C4-9ABD9BBD82BE,Operational
WS-IT357,8C:77:50:28:E8:19,Windows Server 2019 Standard,CORP,10.1.11.202,TZLFP2H,7,5.00.9040.1001,ws-it357.corp.local,ws-it357,03-04-2025 07:03,CORP\thomas.allen,16771531,FF082F5A-1B05-4179-8260-574CEE9C1DD3,Operational
WS-IT341,04:05:BA:D1:DD:86,Win Srv 2022 Standard,,10.1.11.201,EOMES0MC,3,5.00.9049.1000,ws-it341.fabrikam.local,ws-it341,17-04-2025 16:38,FABRIKAM\micheal.williams,16796204,0A6FFE7B-4F46-423F-92C7-1E2D638F74D2,Operational
LT-IT309,E9:85:68:1D:41:B7,Windows Server 2019 Standard,CONTOSO,10.1.21.157,VLTAV8Z,14,5.00.9049.1000,lt-it309.contoso.local,lt-it309,29-03-2025 19:52,,,0999C71A-DE8C-4098-B738-A10507909528,Operational
TB-IT60,11:03:67:C1:60:DC,Win Srv 2022 Standard,CONTOSO,10.1.31.36,KK3XNM3M,11,5.00.9049.1000,tb-it60.contoso.local,tb-it60,22-04-2025 09:06,FABRIKAM\theodore.flores,16763131,84068188-D3B8-4049-9CC2-8798FA19ED1A,Operational
,44:61:5E:F5:04:66,Windows Server 2019 Standard,CONTOSO,10.1.11.200,1DC35KOM89,3,5.00.9049.1000,ws-it040.contoso.local,ws-it040,23-03-2025 08:29,CORP\david.thomas,16750847,D3004D76-C59B-4996-9575-A2C9C89A94A1,Operational
