Name,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Date,Lease End Date,Client Identifier,DHCP ServerIP,Boot File Name,V Operating System
though-bank-765,b5:12:14:4f:ff:6e,192.168.0.222,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",company.local,18-04-2025 00:36,18-05-2025 00:36,01:b5:12:14:4f:ff:6e,192.168.0.2,,Windows Server 2019 Standard
type-main-404,d6:be:63:62:10:2d,10.0.0.71,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",internal.org,18-04-2025 17:13,18-05-2025 17:13,01:d6:be:63:62:10:2d,10.0.0.2,boot.wim,Red Hat Enterprise Linux
agent-believe-503,a6:2f:82:96:25:31,10.0.0.172,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",internal.org,16-04-2025 01:03,16-05-2025 01:03,01:a6:2f:82:96:25:31,10.0.0.2,pxeboot.0,Linux
occur-put-691,39:e2:9f:b3:89:d5,172.30.0.231,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,21-04-2025 12:07,21-05-2025 12:07,01:39:e2:9f:b3:89:d5,172.30.0.2,pxeboot.0,Microsoft Windows Srv 2022 Standard
single-mention-363,76:42:7a:5c:1e:2a,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 04:26,20-05-2025 04:26,01:76:42:7a:5c:1e:2a,192.168.0.2,undionly.kpxe,Ubuntu Server 1.24.1
sirgle-mention-363,76:42:7a:5c:1e:2a,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 04:26,20-05-2025 04:26,01:76:42:7a:5c:1e:2a,192.168.0.2,undionly.kpxe,Windows Server 2019 Std
single-mention-3G3,76:42:7a:5c:1e:2a,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 04:26,20-05-2025 04:26,01:76:42:7a:5c:1e:2a,192.168.0.2,undionly.kpxe,Red Hat Enterprise Linux
main-light-165,78:00:c4:50:be:42,172.30.0.178,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",example.com,18-04-2025 06:04,18-05-2025 06:04,01:78:00:c4:50:be:42,172.30.0.2,pxeboot.0,Microsoft 6.0
maln-light-165,78:00:c4:50:be:42,176.34.8.180,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",example.com,20-04-2025 23:42,20-05-2025 23:42,01:78:00:c4:50:be:42,172.30.0.2,pxeboot.0,Microsoft Windows Srv 2022 Standard
maim-light-165,78:00:c4:50:be:42,177.33.2.184,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",example.com,27-04-2025 14:58,27-05-2025 14:58,01:78:00:c4:50:be:42,172.30.0.2,pxeboot.0,Linux Server
month-break-558,52:17:e6:70:3c:e8,10.0.0.123,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",example.com,17-04-2025 08:51,17-05-2025 08:51,01:52:17:e6:70:3c:e8,10.0.0.2,undionly.kpxe,Microsoft Windows Server 2022 Standard
thus-someone-948,96:77:ab:43:10:26,10.0.0.57,255.255.255.0,10.0.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,18-04-2025 09:23,18-05-2025 09:23,01:96:77:ab:43:10:26,10.0.0.2,boot.wim,Microsoft Windows Server 2022 Standard
single-office-727,2a:2c:80:15:f4:40,10.10.10.75,255.255.255.0,10.10.10.1,"1.1.1.1, 1.0.0.1",corp.local,15-04-2025 22:09,15-05-2025 22:09,01:2a:2c:80:15:f4:40,10.10.10.2,undionly.kpxe,Microsoft Windows Server 2022 Standard
season-job-43,16:eb:be:e6:47:b1,10.10.10.217,255.255.255.0,,"64.6.64.6, 64.6.65.6",enterprise.net,16-04-2025 02:23,,01:16:eb:be:e6:47:b1,10.10.10.2,ipxe.efi,Microsoft Windows Server 2022 Standard
season-job_43,16:eb:be:e6:47:b1,17.11.15.227,255.255.255.0,,"64.6.64.6, 64.6.65.6",enterprise.net,23-04-2025 08:52,,01:16:eb:be:e6:47:b1,10.10.10.2,ipxe.efi,Microsoft Windows Srv 2022 Standard Pro
particularly-animal-77,2b:48:99:5e:6b:ae,10.0.0.24,255.255.255.0,10.0.0.1,,enterprise.net,16-04-2025 08:09,16-05-2025 08:09,01:2b:48:99:5e:6b:ae,10.0.0.2,ipxe.efi,Win Srv 2022 Standard
writer-bank-149,d1:6b:07:a5:db:bb,10.0.0.51,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",example.com,,30-01-1900 00:00,01:d1:6b:07:a5:db:bb,10.0.0.2,bootx64.efi,Linux OS
senior-boy-437,b2:87:81:b1:45:ef,172.30.0.100,255.255.0.0,172.30.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,21-04-2025 11:08,21-05-2025 11:08,01:b2:87:81:b1:45:ef,172.30.0.2,,Win Server 2019 Standard
thus-whatever-459,cb:46:d0:e1:27:03,172.16.0.248,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",corp.local,20-04-2025 23:04,20-05-2025 23:04,01:cb:46:d0:e1:27:03,172.16.0.2,boot.wim,Win Server 2019 Std
possible-sort-281,24:f8:ee:6a:a1:4e,172.30.0.37,255.255.0.0,172.30.0.1,"64.6.64.6, 64.6.65.6",corp.local,17-04-2025 20:25,17-05-2025 20:25,01:24:f8:ee:6a:a1:4e,172.30.0.2,bootx64.efi,Windows Srv 2022 Standard
some-gas-799,05:ec:80:55:ef:1e,10.0.0.40,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",example.com,18-04-2025 12:49,18-05-2025 12:49,01:05:ec:80:55:ef:1e,10.0.0.2,undionly.kpxe,Ubuntu Server Client
s0me-gas-799,05:ec:80:55:ef:1e,10.0.0.40,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",example.com,18-04-2025 12:49,18-05-2025 12:49,01:05:ec:80:55:ef:1e,10.0.0.2,undionly.kpxe,Linux OS
run-believe-497,,172.30.0.168,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,19-04-2025 02:26,19-05-2025 02:26,01:35:cd:69:e8:65:09,172.30.0.2,undionly.kpxe,Ubuntu Server
run-believe-49t,,172.30.0.168,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,19-04-2025 02:26,19-05-2025 02:26,01:35:cd:69:e8:65:09,172.30.0.2,undionly.kpxe,Ubuntu Server Client
run-beli3ve-497,,172.30.0.168,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,19-04-2025 02:26,19-05-2025 02:26,01:35:cd:69:e8:65:09,172.30.0.2,undionly.kpxe,
president-the-416,d5:d8:41:3b:24:fa,192.168.0.226,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",,15-04-2025 20:19,15-05-2025 20:19,01:d5:d8:41:3b:24:fa,192.168.0.2,pxeboot.0,Ubuntu Server-1.24.1
the-traditional-36,,172.30.0.239,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,,30-01-1900 00:00,01:db:b2:da:3e:65:17,172.30.0.2,pxeboot.0,Ubuntu Server-13.0.0
senior-the-172,b3:6a:13:51:18:65,192.168.0.61,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,20-04-2025 11:42,20-05-2025 11:42,01:b3:6a:13:51:18:65,192.168.0.2,boot.wim,GNU/Linux
help-point-513,3b:c1:ca:53:9b:4f,172.30.0.122,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",,17-04-2025 01:54,17-05-2025 01:54,01:3b:c1:ca:53:9b:4f,172.30.0.2,boot.wim,Ubuntu Server
occur-feeling-901,df:b0:70:26:e4:8a,172.30.0.155,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",corp.local,20-04-2025 22:30,20-05-2025 22:30,01:df:b0:70:26:e4:8a,172.30.0.2,bootx64.efi,Red Hat Enterprise Linux
budget-moment-122,a5:f1:a6:af:28:a9,172.16.0.141,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",internal.org,22-04-2025 06:38,22-05-2025 06:38,01:a5:f1:a6:af:28:a9,172.16.0.2,ipxe.efi,Red Hat Enterprise Linux
buclget-moment-122,a5:f1:a6:af:28:a9,172.16.0.141,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",internal.org,22-04-2025 06:38,22-05-2025 06:38,01:a5:f1:a6:af:28:a9,172.16.0.2,ipxe.efi,Ubuntu Servercd-6.11.5
agency-not-510,fa:93:31:d5:76:98,172.16.0.30,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,22-04-2025 10:01,22-05-2025 10:01,01:fa:93:31:d5:76:98,172.16.0.2,ipxe.efi,Microsoft Win Server 2019 Std
agency-not 510,fa:93:31:d5:76:98,172.16.0.30,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,22-04-2025 10:01,22-05-2025 10:01,01:fa:93:31:d5:76:98,172.16.0.2,ipxe.efi,Ubuntu Server-client
type-surface-767,1b:dc:98:6f:81:ce,172.30.0.162,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,18-04-2025 03:44,18-05-2025 03:44,01:1b:dc:98:6f:81:ce,172.30.0.2,bootx64.efi,Microsoft Win Server 2019 Std
typ3-surface-767,1b:dc:98:6f:81:ce,172.30.0.162,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,18-04-2025 03:44,18-05-2025 03:44,01:1b:dc:98:6f:81:ce,172.30.0.2,bootx64.efi,Windows Server 2019 Standard
occur-article-467,b2:0d:f0:d2:95:d4,10.0.0.184,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",company.local,20-04-2025 11:28,20-05-2025 11:28,01:b2:0d:f0:d2:95:d4,10.0.0.2,,Red Hat Enterprise Linux
occur-artiule-467,b2:0d:f0:d2:95:d4,10.0.0.184,255.255.255.0,10.0.0.1,"9.9.9.9, 149.112.112.112",company.local,20-04-2025 11:28,20-05-2025 11:28,01:b2:0d:f0:d2:95:d4,10.0.0.2,,Linux
to-edge-878,52:a1:7e:d5:6b:2b,10.10.10.113,,10.10.10.1,"208.67.222.222, 208.67.220.220",enterprise.net,22-04-2025 01:35,22-05-2025 01:35,01:52:a1:7e:d5:6b:2b,10.10.10.2,bootx64.efi,Microsoft Windows Srv 2022 Standard
4o-edge-878,52:a1:7e:d5:6b:2b,10.10.10.113,,10.10.10.1,"208.67.222.222, 208.67.220.220",enterprise.net,22-04-2025 01:35,22-05-2025 01:35,01:52:a1:7e:d5:6b:2b,10.10.10.2,bootx64.efi,Ubuntu Server 1.24.1
t0-edge-878,52:a1:7e:d5:6b:2b,10.10.10.113,,10.10.10.1,"208.67.222.222, 208.67.220.220",enterprise.net,22-04-2025 01:35,22-05-2025 01:35,01:52:a1:7e:d5:6b:2b,10.10.10.2,bootx64.efi,Windows Server 2019 Std
woman-bank-456,26:63:e2:31:ff:45,10.10.10.110,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",example.com,17-04-2025 16:38,17-05-2025 16:38,01:26:63:e2:31:ff:45,10.10.10.2,pxeboot.0,Red Hat Enterprise Linux
vvoman-bank-456,26:63:e2:31:ff:45,10.10.10.110,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",example.com,17-04-2025 16:38,17-05-2025 16:38,01:26:63:e2:31:ff:45,10.10.10.2,pxeboot.0,Microsoft 6.0
wornan-bank-456,26:63:e2:31:ff:45,10.10.10.110,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",example.com,17-04-2025 16:38,17-05-2025 16:38,01:26:63:e2:31:ff:45,10.10.10.2,pxeboot.0,Microsoft Windows Srv 2022 Standard
writer-gas-415,ba:16:0b:4e:e7:2b,192.168.0.12,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",example.com,20-04-2025 14:03,20-05-2025 14:03,01:ba:16:0b:4e:e7:2b,192.168.0.2,pxeboot.0,Linux Server
writen-gas-415,ba:16:0b:4e:e7:2b,192.168.0.12,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",example.com,20-04-2025 14:03,20-05-2025 14:03,01:ba:16:0b:4e:e7:2b,192.168.0.2,pxeboot.0,Microsoft Windows Server 2022 Standard
writen-gas-415,ba:16:0b:4e:e7:2b,192.168.0.12,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",example.com,20-04-2025 14:03,20-05-2025 14:03,01:ba:16:0b:4e:e7:2b,192.168.0.2,pxeboot.0,Microsoft Windows Server 2022 Standard
my-someone-546,ee:a6:25:b5:de:7f,10.10.10.199,255.255.255.0,10.10.10.1,"1.1.1.1, 1.0.0.1",company.local,20-04-2025 13:56,20-05-2025 13:56,01:ee:a6:25:b5:de:7f,10.10.10.2,,Microsoft Windows Server 2022 Standard
agent-develop-854,7a:2e:ea:b5:59:9e,10.0.0.54,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",internal.org,16-04-2025 16:45,16-05-2025 16:45,01:7a:2e:ea:b5:59:9e,10.0.0.2,boot.wim,Microsoft Windows Server 2022 Standard
visit-business-705,52:00:b9:41:3d:db,10.10.10.120,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",enterprise.net,17-04-2025 21:22,17-05-2025 21:22,01:52:00:b9:41:3d:db,10.10.10.2,bootx64.efi,Microsoft Windows Srv 2022 Standard Pro
save-push-275,44:53:75:96:fc:f3,10.10.10.145,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",example.com,17-04-2025 12:16,17-05-2025 12:16,01:44:53:75:96:fc:f3,10.10.10.2,,Win Srv 2022 Standard
sqve-push-275,44:53:75:96:fc:f3,10.10.10.145,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",example.com,17-04-2025 12:16,17-05-2025 12:16,01:44:53:75:96:fc:f3,10.10.10.2,,Linux OS
same-beat-814,97:e3:9f:d9:60:2e,192.168.0.229,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",corp.local,18-04-2025 15:20,18-05-2025 15:20,01:97:e3:9f:d9:60:2e,,,Win Server 2019 Standard
same-bea7-814,97:e3:9f:d9:60:2e,192.168.0.229,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",corp.local,18-04-2025 15:20,18-05-2025 15:20,01:97:e3:9f:d9:60:2e,,,Win Server 2019 Std
same beat-814,97:e3:9f:d9:60:2e,192.168.0.229,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",corp.local,18-04-2025 15:20,18-05-2025 15:20,01:97:e3:9f:d9:60:2e,,,Windows Srv 2022 Standard
decision-bank-861,d8:4d:df:27:55:b9,192.168.0.173,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",,18-04-2025 12:27,18-05-2025 12:27,01:d8:4d:df:27:55:b9,192.168.0.2,pxeboot.0,Ubuntu Server Client
president-professional-123,9b:22:75:c6:77:c6,10.0.0.203,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",example.com,16-04-2025 11:39,16-05-2025 11:39,01:9b:22:75:c6:77:c6,10.0.0.2,bootx64.efi,Linux OS
drug-article-331,8a:ea:2f:59:d7:20,10.10.10.148,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",internal.org,18-04-2025 18:10,18-05-2025 18:10,01:8a:ea:2f:59:d7:20,10.10.10.2,ipxe.efi,Ubuntu Server
find-so-18,e3:e3:8b:4a:6e:5e,192.168.0.179,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",enterprise.net,20-04-2025 11:26,20-05-2025 11:26,01:e3:e3:8b:4a:6e:5e,,,Ubuntu Server Client
senior-no-560,e7:ab:30:03:72:d5,,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",corp.local,16-04-2025 17:54,16-05-2025 17:54,01:e7:ab:30:03:72:d5,172.30.0.2,pxeboot.0,
ten-push-140,28:b6:6d:fe:81:49,172.30.0.137,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",company.local,16-04-2025 00:53,16-05-2025 00:53,,172.30.0.2,boot.wim,Ubuntu Server-1.24.1
ten-push-1a0,28:b6:6d:fe:81:49,179.38.3.137,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",company.local,19-04-2025 16:19,19-05-2025 16:19,,172.30.0.2,boot.wim,Ubuntu Server-13.0.0
ten-pwsh-140,28:b6:6d:fe:81:49,173.30.9.144,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",company.local,24-04-2025 02:52,24-05-2025 02:52,,172.30.0.2,boot.wim,GNU/Linux
agent-heavy-439,26:8b:fb:ca:19:03,10.0.0.16,255.255.255.0,10.0.0.1,,company.local,16-04-2025 05:53,16-05-2025 05:53,01:26:8b:fb:ca:19:03,10.0.0.2,boot.wim,Ubuntu Server
agent_heavy-439,26:8b:fb:ca:19:03,17.3.9.23,255.255.255.0,10.0.0.1,,company.local,19-04-2025 13:16,19-05-2025 13:16,01:26:8b:fb:ca:19:03,10.0.0.2,boot.wim,Red Hat Enterprise Linux
agent-heavj-439,26:8b:fb:ca:19:03,11.10.8.20,255.255.255.0,10.0.0.1,,company.local,26-04-2025 11:16,26-05-2025 11:16,01:26:8b:fb:ca:19:03,10.0.0.2,boot.wim,Red Hat Enterprise Linux
fight-human-313,9a:80:82:16:a1:22,172.16.0.72,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",corp.local,18-04-2025 18:00,18-05-2025 18:00,,172.16.0.2,pxeboot.0,Ubuntu Servercd-6.11.5
fight-kuman-313,9a:80:82:16:a1:22,178.19.10.73,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",corp.local,23-04-2025 20:49,23-05-2025 20:49,,172.16.0.2,pxeboot.0,Microsoft Win Server 2019 Std
fight-human-3l3,9a:80:82:16:a1:22,176.20.6.73,255.255.255.0,172.16.0.1,"64.6.64.6, 64.6.65.6",corp.local,21-04-2025 02:44,21-05-2025 02:44,,172.16.0.2,pxeboot.0,Ubuntu Server-client
want-moment-757,77:6b:5d:92:23:c7,192.168.0.182,255.255.255.0,192.168.0.1,,enterprise.net,18-04-2025 18:13,18-05-2025 18:13,01:77:6b:5d:92:23:c7,192.168.0.2,undionly.kpxe,Microsoft Win Server 2019 Std
hundred-bed-527,2f:c5:de:6d:ff:15,172.16.0.154,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,16-04-2025 03:06,16-05-2025 03:06,01:2f:c5:de:6d:ff:15,172.16.0.2,pxeboot.0,Windows Server 2019 Standard
kundred-bed-527,2f:c5:de:6d:ff:15,175.21.8.158,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,21-04-2025 14:33,21-05-2025 14:33,01:2f:c5:de:6d:ff:15,172.16.0.2,pxeboot.0,Red Hat Enterprise Linux
paper-human-480,80:f9:6f:51:d2:17,172.30.0.92,255.255.0.0,172.30.0.1,"64.6.64.6, 64.6.65.6",internal.org,19-04-2025 21:52,19-05-2025 21:52,01:80:f9:6f:51:d2:17,172.30.0.2,,Linux
paper-hum4n-480,80:f9:6f:51:d2:17,172.38.10.101,255.255.0.0,172.30.0.1,"64.6.64.6, 64.6.65.6",internal.org,25-04-2025 13:48,25-05-2025 13:48,01:80:f9:6f:51:d2:17,172.30.0.2,,Microsoft Windows Srv 2022 Standard
want-professional-139,69:67:d7:3f:00:aa,10.0.0.138,255.255.255.0,10.0.0.1,"64.6.64.6, 64.6.65.6",corp.local,20-04-2025 15:49,20-05-2025 15:49,01:69:67:d7:3f:00:aa,10.0.0.2,bootx64.efi,Ubuntu Server 1.24.1
same-couple-504,cb:6d:01:b7:d9:33,10.0.0.94,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",corp.local,,30-01-1900 00:00,01:cb:6d:01:b7:d9:33,10.0.0.2,boot.wim,Windows Server 2019 Std
same-couple-5O4,cb:6d:01:b7:d9:33,10.0.0.94,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",corp.local,,30-01-1900 00:00,01:cb:6d:01:b7:d9:33,10.0.0.2,boot.wim,Red Hat Enterprise Linux
same-cou9le-504,cb:6d:01:b7:d9:33,10.0.0.94,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",corp.local,,30-01-1900 00:00,01:cb:6d:01:b7:d9:33,10.0.0.2,boot.wim,Microsoft 6.0
here-business-219,,,255.255.255.0,,"208.67.222.222, 208.67.220.220",enterprise.net,18-04-2025 18:42,18-05-2025 18:42,,10.10.10.2,undionly.kpxe,Microsoft Windows Srv 2022 Standard
according-surface-198,f0:b9:c1:58:1f:e6,172.16.0.207,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",corp.local,16-04-2025 23:27,,01:f0:b9:c1:58:1f:e6,172.16.0.2,,Linux Server
WS-IT029,BC:B6:C4:9D:53:0C,,255.255.255.0,,,,,,,192.168.0.21,,Windows Server 2022 Std
WS-IT558,35:EC:9D:49:E0:DA,,255.255.255.0,,,,,,,192.168.0.22,,Windows Server 2022 Std
LT-IT304,45:FD:C9:3B:4A:13,,255.255.255.0,,,,,,,192.168.0.23,,Windows Server 2019 Standard
WS-IT035,2D:3A:96:FE:D5:25,,255.255.255.0,,,,,,,192.168.0.24,,Win Srv 2022 Standard
LT-IT233,75:9B:5C:2A:E0:EB,,255.255.255.0,,,,,,,192.168.0.25,,Windows Server 2022 Std
LT-IT281,60:11:51:1B:5D:FD,,255.255.255.0,,,,,,,192.168.0.26,,Windows Server 2019 Standard
WS-IT592,71:53:7B:16:F6:33,,255.255.0.0,,,,,,,192.168.0.27,,Windows Server 2019 Standard
WS-IT192,CD:F1:AB:0F:D0:EE,,255.255.255.0,,,,,,,192.168.0.28,,Win Srv 2022 Standard
TB-IT45,99:7A:11:FC:B6:27,,255.255.255.0,,,,,,,192.168.0.29,,Windows Server 2019 Standard
LT-IT242,6D:7E:BE:2F:E3:E4,,255.255.0.0,,,,,,,192.168.0.30,,Windows Server 2019 Standard
SRV-SQL42,B1:7A:2E:8C:F2:C3,,255.255.255.0,,,,,,,192.168.0.31,,Windows Server 2022 Standard
WS-IT715,25:0F:16:EB:5F:72,,255.255.0.0,,,,,,,192.168.0.32,,Windows Server 2019 Standard
