Serial number,MAC Address,IP Address,Fully qualified domain name,Name,Chassis type,Product instance identifier,Operational status,Host name,Assigned to,Domain,Object ID,Most recent discovery,IOS version,Operating System,Confidence Score
J68JKBA,C4:7D:42:57:8D:BD,,lt-it081.fabrikam.local,LT-IT081,10.0,E7D42754-1243-468C-8A9D-05EE1B5475B6,Operational,lt-it081,CONTOSO\melissa.may,FABRIKAM,,01-04-2025 19:26,5.00.9049.1000,Windows Server 2019 Standard,100.0
DYWLPENW,94:B2:0A:FB:56:2D,10.1.11.246,ws-it348.fabrikam.local,WS-IT348,5.0,30B405B7-62BA-45DD-8061-D15C9C497087,Operational,ws-it348,CONTOSO\laura.thomas,FABRIKAM,16737457.0,04-04-2025 17:50,5.00.9049.1000,Windows Server 2022 Standard,95.0
X9TJG2PL,08:B6:89:D6:92:67,10.1.31.37,tb-it53.contoso.local,TB-IT53,14.0,69ACA0D6-8A2F-43C1-94C0-69CE50DF3F9F,Operational,tb-it53,CORP\shawn.stewart,,16729987.0,26-03-2025 11:17,5.00.9040.1001,Windows Server 2019 Standard,100.0
099SMF9,1D:9C:7A:B2:BE:AD,10.1.2.40,srv-sql59.corp.local,SRV-SQL59,17.0,86AE94F4-D633-4680-8303-AF7651EB6A2C,Operational,srv-sql59,,CORP,16765975.0,18-04-2025 16:32,5.00.9040.1001,Windows Server 2022 Standard,100.0
05Y479IB,58:42:E9:9D:7D:4E,10.1.21.188,lt-it054.fabrikam.local,LT-IT054,10.0,,Operational,lt-it054,,FABRIKAM,16706991.0,31-03-2025 18:00,,Windows Server 2022 Standard,90.0
CA8WQKH9VE,D4:48:51:A1:68:53,10.1.21.189,lt-it126.contoso.local,LT-IT126,8.0,39C0A493-A854-41FD-B8B9-82DFB56AEC41,Operational,lt-it126,CORP\jonathan.livingston,CONTOSO,16790516.0,07-04-2025 13:51,5.00.9040.1001,Windows Server 2019 Standard,100.0
6KBVJPGWKX,78:AF:D1:DB:96:16,10.1.11.245,ws-it161.corp.local,WS-IT161,7.0,21B2C924-EF04-4673-95BC-766C23E42C6F,Operational,ws-it161,CONTOSO\dana.smith,CORP,16722117.0,22-04-2025 08:08,5.00.9049.1000,Windows Server 2019 Standard,100.0
6HHPIVM,49:7D:22:1A:83:93,10.1.21.186,lt-it050.contoso.local,LT-IT050,14.0,ABAA36B2-3C8A-4E68-8003-E1D1A44118C4,Operational,lt-it050,CORP\leah.wolfe,CONTOSO,16781254.0,13-04-2025 13:27,5.00.9049.1000,Windows Server 2022 Standard,90.0
SAY7PF4,B9:31:2C:5E:C1:2C,10.1.21.185,lt-it246.corp.local,LT-IT246,9.0,FB412A09-3CFF-434F-B463-583DFA845C0C,Operational,lt-it246,CORP\stephanie.ramirez,CORP,16762220.0,08-04-2025 08:22,5.00.9049.1000,Windows Server 2019 Standard,100.0
5ZL06Q9TN4,19:4F:F3:D4:4B:40,10.1.11.244,ws-it491.contoso.local,WS-IT491,3.0,3830F30C-0B5C-41CC-86CD-6B86E86D062E,Operational,ws-it491,CORP\vincent.gutierrez,CONTOSO,16773538.0,,5.00.9049.1000,Windows Server 2022 Standard,95.0
8OWUYZRM,80:C9:86:E3:80:61,10.1.11.243,ws-it282.fabrikam.local,WS-IT282,4.0,A7CEC3ED-8A49-4EBA-B406-91B688AE9F61,Operational,ws-it282,CONTOSO\thomas.garcia,,16713723.0,29-03-2025 17:06,5.00.9040.1001,Windows Server 2022 Standard,95.0
OWBVEMWE,E9:DC:B7:62:22:38,10.1.11.242,ws-it494.fabrikam.local,WS-IT494,15.0,5037CC70-5872-4BF3-BCB3-0D73D9AD2A07,Operational,ws-it494,FABRIKAM\kimberly.briggs,FABRIKAM,16756190.0,16-04-2025 11:57,5.00.9049.1000,Windows Server 2019 Standard,100.0
B8B5XJBH,28:70:23:5F:FD:E0,10.1.11.241,ws-it025.fabrikam.local,WS-IT025,15.0,22B5A3D0-9954-48B5-8A0D-200C4D4FBCCF,Operational,ws-it025,CONTOSO\aaron.bell,FABRIKAM,16703734.0,10-04-2025 17:50,5.00.9049.1000,Windows Server 2019 Standard,100.0
9Q8MK0GN,1D:08:6B:9D:D2:6F,10.1.31.38,tb-it58.fabrikam.local,,13.0,19E7C8C8-65E6-482F-83B3-90132B1FB9A9,Operational,tb-it58,,FABRIKAM,16707028.0,28-03-2025 14:47,5.00.9049.1000,Windows Server 2022 Standard,90.0
IO1UY7OC,AD:67:74:0C:6A:99,10.1.11.240,ws-it180.corp.local,WS-IT180,6.0,6E23CCD2-BE67-4096-B0CF-5ADAAD41A095,Operational,ws-it180,CONTOSO\ashley.zimmerman,CORP,16700591.0,11-04-2025 15:02,5.00.9049.1000,Windows Server 2022 Standard,90.0
RN3W413A,C4:DF:B4:14:E9:E5,10.1.11.237,ws-it406.corp.local,WS-IT406,6.0,CCB0713D-9CC5-49C4-937E-FAE35FBFF298,Operational,ws-it406,CORP\trevor.garcia,CORP,16759928.0,10-04-2025 07:14,5.00.9049.1000,Windows Server 2022 Standard,90.0
0VEG3TP,39:0F:D5:9D:96:A1,10.1.11.238,ws-it243.contoso.local,WS-IT243,17.0,E2F49023-C91A-4883-B2A8-2A177B3E203C,Operational,ws-it243,,CONTOSO,16757464.0,12-04-2025 14:01,5.00.9049.1000,Windows Server 2019 Standard,100.0
95RW9MC31Q,D0:ED:8A:A2:34:6C,10.1.11.239,ws-it333.fabrikam.local,WS-IT333,15.0,8FDA9CB1-9483-4655-8048-520DBC2CC586,Operational,ws-it333,CORP\amber.cook,FABRIKAM,16724299.0,04-04-2025 17:05,5.00.9049.1000,Windows Server 2022 Standard,95.0
KR7A1ZC3,C8:C3:FC:55:F8:91,10.1.31.39,tb-it39.corp.local,TB-IT39,11.0,FFB98519-D667-4635-A1AB-2F47E1B2EF59,Operational,tb-it39,FABRIKAM\ashley.cochran,CORP,16737158.0,08-04-2025 13:20,,Windows Server 2022 Standard,95.0
DDVCIMOO,44:FD:64:07:7D:C4,10.1.21.184,lt-it229.contoso.local,LT-IT229,9.0,EBB94CAF-A7BC-4B7D-932F-FE8B09D2509F,Operational,lt-it229,CORP\michael.bender,CONTOSO,16716765.0,,5.00.9040.1001,Windows Server 2019 Standard,100.0
4Y69FLCLDW,4C:48:91:B9:3A:65,,,LT-IT338,9.0,71007AED-2BD0-44EA-9DDA-B216A453D23F,Operational,lt-it338,CONTOSO\elizabeth.beasley,FABRIKAM,16780919.0,20-04-2025 11:45,5.00.9049.1000,Windows Server 2022 Standard,95.0
ZV0EFTCD,50:42:A9:EA:BB:71,,lt-it155.corp.local,,10.0,0F32A762-7EB9-4AA0-A872-A0F8D76BF880,Operational,lt-it155,CORP\michael.morales,CORP,16721514.0,25-03-2025 10:14,5.00.9049.1000,Windows Server 2019 Standard,100.0
KSUYH6EWY5,A4:BE:B6:41:1B:30,10.1.21.181,lt-it092.contoso.local,,14.0,8E946837-48E0-485C-BF03-7F1145503E2F,Operational,lt-it092,CORP\christine.clark,CONTOSO,16708523.0,,5.00.9049.1000,Windows Server 2019 Standard,100.0
ONUTAREULY,,10.1.11.236,ws-it312.fabrikam.local,WS-IT312,7.0,CC3F5EF2-B7FE-4C78-8359-D0C9A61ABAC9,Operational,,FABRIKAM\krista.carr,FABRIKAM,16790312.0,31-03-2025 07:38,5.00.9040.1001,Windows Server 2022 Standard,95.0
49IZF081,19:10:AD:EE:27:19,10.1.21.180,lt-it089.fabrikam.local,,10.0,64646D09-0FA4-4E83-80AB-043730D23E19,Operational,lt-it089,FABRIKAM\jennifer.mahoney,FABRIKAM,16742336.0,28-03-2025 17:37,5.00.9049.1000,Windows Server 2022 Standard,90.0
MKAS0DRM39,34:FB:34:16:78:AA,10.1.11.235,ws-it623.contoso.local,WS-IT623,17.0,907A1AD7-45A9-4DE0-8B9C-255278BD5FC7,Operational,ws-it623,CONTOSO\samantha.daniels,CONTOSO,16798770.0,21-04-2025 09:17,5.00.9049.1000,Windows Server 2019 Standard,100.0
D17S4FQ2Z9,C1:C9:F4:3E:69:7E,10.1.2.37,srv-sql02.fabrikam.local,SRV-SQL02,17.0,20736ADB-044C-4244-8611-12018904AFCD,Operational,srv-sql02,SYSTEM,FABRIKAM,16730469.0,07-04-2025 17:01,5.00.9049.1000,Windows Server 2022 Standard,100.0
HUQ0Q45K,08:0F:79:33:3B:4B,10.1.21.197,lt-it051.contoso.local,LT-IT051,9.0,,Operational,lt-it051,FABRIKAM\diana.johnston,CONTOSO,16737344.0,26-03-2025 19:22,5.00.9049.1000,Windows Server 2022 Standard,95.0
MA9ZALQE,5D:AC:D6:A1:35:95,10.1.11.234,,WS-IT653,,B47A79FA-CB4F-4CA2-8AF6-82BCFF7F769E,Operational,ws-it653,CONTOSO\debra.wright,CONTOSO,16791778.0,15-04-2025 18:39,5.00.9049.1000,Windows Server 2022 Standard,90.0
8Z5Z2PNS,24:B7:E8:B8:80:BB,10.1.21.198,lt-it069.fabrikam.local,LT-IT069,8.0,7EA7FB76-9B0F-4DE3-8F13-9F6BCC9E4B68,Operational,lt-it069,FABRIKAM\kristi.moore,FABRIKAM,16748807.0,11-04-2025 08:08,5.00.9040.1001,Windows Server 2019 Standard,100.0
OUKHDEC,29:35:9F:F2:86:BB,10.1.11.233,ws-it714.corp.local,WS-IT714,5.0,EA2CCD4C-B3A5-4198-BFC1-ABC2662DECF5,Operational,ws-it714,CORP\matthew.garcia,CORP,16778571.0,07-04-2025 13:59,5.00.9040.1001,Windows Server 2022 Standard,90.0
UKF5G8S,C9:EA:E9:86:13:15,10.1.11.232,ws-it554.contoso.local,WS-IT554,4.0,814F817B-0751-4DD7-A6CD-81C6550FDB97,Operational,ws-it554,CORP\joanna.garcia,CONTOSO,16791506.0,12-04-2025 17:13,5.00.9040.1001,Windows Server 2022 Standard,90.0
P2FOGBN,68:BD:F9:13:33:80,10.1.21.199,lt-it052.corp.local,LT-IT052,,D3A00470-D343-4E7E-B2A4-E7F2FACE9F5B,Operational,lt-it052,FABRIKAM\leroy.maldonado,CORP,16702348.0,07-04-2025 07:24,5.00.9049.1000,Windows Server 2019 Standard,100.0
NZHWO2D,FC:CF:3D:01:72:3F,10.1.11.231,ws-it565.contoso.local,WS-IT565,17.0,7FC951AC-B623-46B3-8C09-901175FF6596,Operational,ws-it565,FABRIKAM\edwin.gomez,CONTOSO,16776658.0,29-03-2025 12:11,5.00.9049.1000,Windows Server 2019 Standard,100.0
Y8TKEG8,19:2A:6D:A5:D5:6B,10.1.21.196,lt-it137.contoso.local,LT-IT137,,FBFEEF34-2DE9-4CA1-BECB-0AA23730A74D,Operational,lt-it137,CONTOSO\kimberly.stevens,CONTOSO,16724578.0,01-04-2025 08:54,5.00.9049.1000,Windows Server 2019 Standard,100.0
6HLI3N3,1D:20:75:78:B0:0E,10.1.21.195,lt-it021.corp.local,LT-IT021,9.0,,Operational,lt-it021,CORP\amanda.chang,CORP,,27-03-2025 07:14,5.00.9049.1000,Windows Server 2019 Standard,100.0
ZTYT56I,59:0D:A8:BA:08:25,10.1.11.227,ws-it502.contoso.local,WS-IT502,17.0,90E1339C-B8E3-4D94-A033-64375E370511,Operational,ws-it502,CORP\nicole.tucker,CONTOSO,16732236.0,02-04-2025 18:54,5.00.9049.1000,Windows Server 2019 Standard,100.0
G3SDO1M0,34:94:99:C3:4A:1A,10.1.11.228,ws-it238.corp.local,WS-IT238,5.0,DDAD6F47-DEF9-4B1E-88BD-93F7C0B43AE7,Operational,ws-it238,CONTOSO\lisa.vance,CORP,16772671.0,27-03-2025 14:22,5.00.9049.1000,Windows Server 2019 Standard,100.0
KNWEMOG,,,lt-it299.contoso.local,LT-IT299,10.0,E66DDF76-A877-4328-B68A-49887022EFBB,Operational,lt-it299,CONTOSO\larry.riley,CONTOSO,16711743.0,26-03-2025 10:21,,Windows Server 2019 Standard,100.0
AHCW89H,B8:46:86:06:55:83,10.1.11.229,,WS-IT250,6.0,,Operational,ws-it250,CORP\rita.palmer,CORP,16779704.0,19-04-2025 10:25,5.00.9049.1000,Windows Server 2019 Standard,100.0
3Q9XFYH,D4:2A:89:30:01:F2,,lt-it332.fabrikam.local,LT-IT332,14.0,0E67D175-3048-424A-B6D7-317581346D51,Operational,lt-it332,FABRIKAM\jasmine.harper,FABRIKAM,16785895.0,05-04-2025 19:49,5.00.9040.1001,Windows Server 2022 Standard,90.0
LLDAO9G,0D:EE:7D:F5:26:69,10.1.11.226,ws-it430.contoso.local,,3.0,90717529-8BE8-47FC-A0FD-D4CF26F3C7C4,Operational,ws-it430,,CONTOSO,16777276.0,01-04-2025 13:34,5.00.9049.1000,Windows Server 2022 Standard,95.0
PKTH6W4,75:6E:8D:14:44:F8,10.1.11.225,ws-it489.corp.local,,6.0,A5D37696-13E3-4838-A54B-CAEE546D1340,Operational,ws-it489,CONTOSO\nicholas.cummings,CORP,16717398.0,12-04-2025 19:27,5.00.9049.1000,Windows Server 2019 Standard,100.0
U5HV0PMM,75:06:5C:E1:13:55,10.1.11.224,ws-it176.fabrikam.local,WS-IT176,3.0,A24AE96D-4039-4589-8703-758584D567A3,Operational,ws-it176,FABRIKAM\brian.fuentes,FABRIKAM,16734348.0,19-04-2025 12:10,5.00.9049.1000,Windows Server 2019 Standard,100.0
P53D86L,D1:D9:C7:96:D3:06,10.1.11.223,ws-it274.corp.local,WS-IT274,5.0,63F67397-79ED-4542-8161-3E0109F0612E,Operational,ws-it274,CONTOSO\richard.adams,CORP,16766451.0,19-04-2025 12:23,5.00.9049.1000,Windows Server 2022 Standard,95.0
EKY6WL57,39:BC:0F:B2:01:05,10.1.21.192,lt-it163.corp.local,LT-IT163,9.0,89B59171-2729-4E49-ABB0-95050A528B5F,Operational,lt-it163,FABRIKAM\andrea.powell,CORP,16700478.0,13-04-2025 12:31,5.00.9040.1001,Windows Server 2019 Standard,100.0
DG82HQ2U,21:81:B3:31:0C:8F,10.1.11.222,ws-it093.contoso.local,WS-IT093,7.0,6299F1EB-B27F-4424-81B0-35831951DDB7,Operational,ws-it093,FABRIKAM\amanda.smith,CONTOSO,16745262.0,29-03-2025 19:54,5.00.9049.1000,Windows Server 2022 Standard,95.0
M6PTDJX,9C:61:EA:08:C9:B4,10.1.11.221,ws-it227.corp.local,WS-IT227,6.0,69EC0EA7-3F30-4C22-93D5-F9032E8D9431,Operational,ws-it227,FABRIKAM\aaron.thomas,CORP,16756691.0,16-04-2025 10:29,5.00.9049.1000,Windows Server 2019 Standard,100.0
FII2U49,05:7F:18:F6:A4:04,10.1.21.191,lt-it218.fabrikam.local,LT-IT218,9.0,C10BCDF2-90CA-4DFF-A5F5-232863D34C74,Operational,lt-it218,FABRIKAM\kevin.berry,FABRIKAM,,,5.00.9049.1000,Windows Server 2019 Standard,100.0
TUYJW9V,E8:65:D3:A4:71:90,10.1.21.190,lt-it241.contoso.local,LT-IT241,14.0,8CFA205D-36E0-453C-B793-9ADEBCD63F5B,Operational,lt-it241,CONTOSO\brandon.brooks,CONTOSO,16759500.0,20-04-2025 11:00,5.00.9049.1000,Windows Server 2019 Standard,100.0
GL81132E,81:8D:88:EB:37:93,10.1.11.220,ws-it032.contoso.local,WS-IT032,17.0,0104F6BA-40AF-4A10-9ACB-C533E3AD6AB9,Operational,ws-it032,CONTOSO\vicki.banks,CONTOSO,16784655.0,16-04-2025 16:39,5.00.9049.1000,Windows Server 2019 Standard,100.0
8WA8B0LVJZ,D1:C1:DB:C8:C1:8E,10.1.11.217,ws-it296.corp.local,WS-IT296,4.0,78715559-E744-4822-A814-C5C78C0EF027,Operational,,,CORP,16775054.0,28-03-2025 16:50,5.00.9040.1001,Windows Server 2019 Standard,100.0
9WMMDPX,68:15:8C:DE:72:B1,10.1.21.167,lt-it039.contoso.local,LT-IT039,14.0,EA2B57E3-4BE8-4C41-8439-DDCD56CFA54A,Operational,,,CONTOSO,16717897.0,22-04-2025 08:07,5.00.9049.1000,Windows Server 2022 Standard,90.0
U0GDFZDIV2,FC:C2:E5:C8:74:DB,10.1.11.218,ws-it058.corp.local,WS-IT058,17.0,,Operational,ws-it058,CORP\taylor.peters,CORP,16745304.0,13-04-2025 07:11,5.00.9049.1000,Windows Server 2019 Standard,100.0
K4L728E,4D:6F:3A:70:90:77,10.1.21.168,lt-it253.fabrikam.local,LT-IT253,14.0,21E2E99F-8305-45D4-94C5-70EA4F1CAD3F,Operational,lt-it253,FABRIKAM\kelly.mcintyre,FABRIKAM,16756977.0,18-04-2025 13:47,5.00.9049.1000,Windows Server 2022 Standard,95.0
OOBQVB1GF8,B5:3A:BA:5B:F5:65,10.1.11.219,ws-it231.fabrikam.local,,15.0,01B6AAC4-6CC8-41D9-8764-29240A46742C,Operational,,CONTOSO\susan.simmons,FABRIKAM,16774473.0,16-04-2025 16:34,5.00.9049.1000,Windows Server 2019 Standard,100.0
L7P3TDJU,2D:8F:24:D2:10:BA,10.1.11.216,ws-it633.fabrikam.local,WS-IT633,15.0,2664BC5A-4CD2-4D75-9A4E-0AC6D9564358,Operational,ws-it633,CORP\jeremy.kelly,FABRIKAM,16787402.0,29-03-2025 15:34,5.00.9049.1000,Windows Server 2022 Standard,95.0
KYXNF17,94:FA:C0:EE:EC:AF,10.1.11.215,ws-it300.corp.local,WS-IT300,5.0,D6B6B35A-48DD-4430-8C00-4D66BE181EDB,Operational,ws-it300,FABRIKAM\michelle.lozano,CORP,16724721.0,05-04-2025 10:12,,Windows Server 2019 Standard,100.0
HR2AOZX,48:D6:72:54:32:19,10.1.21.169,lt-it234.fabrikam.local,LT-IT234,8.0,2B45F0CB-58D6-4B86-8C75-D2C59DE17182,Operational,lt-it234,FABRIKAM\nathan.huffman,FABRIKAM,16706076.0,22-04-2025 13:55,5.00.9049.1000,Windows Server 2022 Standard,90.0
ZE3D74IDO6,51:1E:13:A0:05:B3,10.1.11.214,ws-it509.corp.local,WS-IT509,6.0,BCEBFEE1-F4FA-442C-B881-170DBC021437,Operational,ws-it509,CORP\john.medina,CORP,16724501.0,21-04-2025 17:13,5.00.9049.1000,Windows Server 2019 Standard,100.0
D2FRCNSXCM,18:7E:81:3A:C4:70,10.1.11.213,ws-it239.contoso.local,WS-IT239,4.0,81C265BB-1CDE-46A5-9E83-CF677B5AC093,Operational,ws-it239,,CONTOSO,16787637.0,01-04-2025 10:58,5.00.9049.1000,Windows Server 2022 Standard,90.0
7V5J6PI,54:FA:37:E2:50:70,10.1.21.166,lt-it222.fabrikam.local,LT-IT222,9.0,C23BDE87-6DFB-4C8B-95A0-A0C3425D2682,Operational,lt-it222,FABRIKAM\anthony.durham,FABRIKAM,,20-04-2025 09:59,5.00.9049.1000,Windows Server 2019 Standard,100.0
EKCOZ7Q,F8:B4:41:2C:1B:2B,10.1.21.165,lt-it301.contoso.local,LT-IT301,8.0,F7754CCC-7DDA-4887-848E-6928F100224D,Operational,lt-it301,CONTOSO\patrick.bailey,CONTOSO,16720780.0,18-04-2025 10:18,5.00.9049.1000,Windows Server 2019 Standard,100.0
FV84RBE,D5:E5:FF:90:13:B5,10.1.21.164,lt-it116.corp.local,LT-IT116,10.0,D10D481F-77B3-4D40-96DA-3436B0A55E7A,Operational,lt-it116,CORP\joseph.keller,CORP,16787227.0,28-03-2025 16:26,5.00.9049.1000,Windows Server 2019 Standard,100.0
KJTM2SOT,D0:40:EC:7D:82:85,10.1.11.212,ws-it255.corp.local,WS-IT255,7.0,1738223C-9260-40BB-A899-C9A1CFCBFB46,Operational,ws-it255,,CORP,16737878.0,18-04-2025 13:44,5.00.9049.1000,Windows Server 2019 Standard,100.0
YJEF0OA,,10.1.21.163,lt-it171.contoso.local,LT-IT171,10.0,E8485904-B8E4-4FAE-AA5F-942058163C93,Operational,,CORP\bruce.williams,CONTOSO,16722091.0,25-03-2025 12:30,5.00.9049.1000,Windows Server 2019 Standard,100.0
DI5P2OO1M4,B5:03:A0:D2:ED:61,10.1.11.211,ws-it626.contoso.local,WS-IT626,17.0,3398478B-772C-441B-84D7-DCD3AA448357,Operational,ws-it626,,CONTOSO,16763785.0,19-04-2025 16:17,5.00.9049.1000,Windows Server 2019 Standard,100.0
Z8FL3OOMV7,51:AE:D7:A6:9E:2B,10.1.21.162,lt-it290.corp.local,LT-IT290,8.0,,Operational,,FABRIKAM\elijah.johnson,CORP,16703024.0,16-04-2025 17:06,5.00.9049.1000,Windows Server 2022 Standard,95.0
RX03KGR,91:DF:CE:62:52:99,10.1.11.210,ws-it517.contoso.local,WS-IT517,4.0,8DB03790-379B-406F-85BA-377B1767B6B2,Operational,ws-it517,CONTOSO\loretta.brown,CONTOSO,16734590.0,25-03-2025 14:16,5.00.9049.1000,Windows Server 2019 Standard,100.0
T7VNWS7,B0:C5:4A:9C:67:64,10.1.11.207,,WS-IT451,4.0,E39ACC33-B6BF-4F29-BFBF-06F44A5BF20F,Operational,ws-it451,CORP\patricia.russell,CORP,16779889.0,01-04-2025 11:34,5.00.9049.1000,Windows Server 2019 Standard,100.0
SZJOLUZ,D9:C5:77:9B:72:7C,10.1.11.208,,WS-IT200,17.0,7B54025E-BEC0-4E93-A84C-69F30BF6E493,Operational,ws-it200,,CONTOSO,16789394.0,11-04-2025 08:10,,Windows Server 2022 Standard,90.0
2EAXI9OYL3,00:F1:F6:0E:92:BE,10.1.11.209,ws-it421.fabrikam.local,,3.0,2F130568-C963-4838-B9BC-8A139A6B1FB2,Operational,ws-it421,CONTOSO\robert.miller,,16700020.0,12-04-2025 08:10,5.00.9040.1001,Windows Server 2019 Standard,100.0
PZV3RVI3CF,B4:62:EF:BA:19:DE,,lt-it014.fabrikam.local,LT-IT014,9.0,3E438479-4E10-4065-A7BE-7DFD7E663115,Operational,lt-it014,CONTOSO\nathan.manning,FABRIKAM,16722327.0,24-03-2025 16:01,5.00.9049.1000,Windows Server 2022 Standard,95.0
7CT24G2,80:5B:DB:21:7C:E0,10.1.11.206,ws-it028.contoso.local,WS-IT028,15.0,B8685CC0-32BC-4BDA-A81C-40ED4423FE02,Operational,ws-it028,CONTOSO\mary.dawson,CONTOSO,16742719.0,15-04-2025 17:51,,Windows Server 2022 Standard,90.0
LILDIQNHI7,A1:CE:6C:C6:54:60,10.1.21.160,lt-it064.corp.local,LT-IT064,9.0,87AC85AD-4296-4AEA-AAB8-670B82AE479B,Operational,lt-it064,FABRIKAM\gary.meyers,CORP,16769752.0,31-03-2025 15:43,5.00.9049.1000,Windows Server 2022 Standard,95.0
MFA1ZEKG,3D:AB:AC:B6:82:AE,10.1.11.205,ws-it320.fabrikam.local,WS-IT320,6.0,19CE7DED-4285-4D5F-B29C-5A8E512CF083,Operational,ws-it320,CONTOSO\david.roberts,FABRIKAM,16761305.0,27-03-2025 16:05,5.00.9049.1000,Windows Server 2019 Standard,100.0
1SC8B07YB4,A1:E8:31:1E:E9:FF,10.1.2.38,,SRV-SQL28,18.0,544C401B-7E9C-4688-933D-4B88E12171CA,Operational,srv-sql28,SYSTEM,CORP,16719009.0,16-04-2025 15:20,5.00.9049.1000,Windows Server 2022 Standard,100.0
7L9DN57,F5:CB:D2:F5:F2:F4,10.1.11.204,ws-it613.contoso.local,WS-IT613,7.0,D732CBE6-076A-4E76-A6EA-94A059AB76B3,Operational,ws-it613,CONTOSO\nancy.reilly,CONTOSO,16788444.0,05-04-2025 07:35,5.00.9049.1000,Windows Server 2022 Standard,90.0
F455Z0S,35:85:CF:15:E7:72,10.1.11.203,ws-it127.fabrikam.local,WS-IT127,5.0,46589F11-6DE5-4DCF-B8C4-9ABD9BBD82BE,Operational,ws-it127,FABRIKAM\julie.parks,FABRIKAM,16778333.0,15-04-2025 08:55,5.00.9049.1000,Windows Server 2022 Standard,90.0
TZLFP2H,8C:77:50:28:E8:19,10.1.11.202,ws-it357.corp.local,WS-IT357,7.0,FF082F5A-1B05-4179-8260-574CEE9C1DD3,Operational,ws-it357,CORP\thomas.allen,CORP,16771531.0,03-04-2025 07:03,5.00.9040.1001,Windows Server 2019 Standard,100.0
EOMES0MC,04:05:BA:D1:DD:86,10.1.11.201,ws-it341.fabrikam.local,WS-IT341,3.0,0A6FFE7B-4F46-423F-92C7-1E2D638F74D2,Operational,ws-it341,FABRIKAM\micheal.williams,,16796204.0,17-04-2025 16:38,5.00.9049.1000,Windows Server 2022 Standard,90.0
VLTAV8Z,E9:85:68:1D:41:B7,10.1.21.157,lt-it309.contoso.local,LT-IT309,14.0,0999C71A-DE8C-4098-B738-A10507909528,Operational,lt-it309,,CONTOSO,,29-03-2025 19:52,5.00.9049.1000,Windows Server 2019 Standard,100.0
