Hostname,MAC Address,IP Address,Subnet Mask,Default Gateway,DNS Servers,Domain Name,Lease Start Time,Lease End Time,Client Identifier,DHCP ServerIP,Boot File Name,Vendor Class ID
though-entire-349,08:d8:4d:df:27:55,172.16.0.121,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,20-04-2025 04:09,21-04-2025 23:09,01:08:d8:4d:df:27:55,172.16.0.2,pxeboot.0,Win 10
financial-citizen-908,ab:96:6c:06:14:d7,10.0.0.102,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",internal.org,18-04-2025 03:40,19-04-2025 17:40,01:ab:96:6c:06:14:d7,10.0.0.2,pxeboot.0,Linux OS
create-beat-890,cd:47:4a:70:95:49,172.30.0.136,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",internal.org,18-04-2025 00:56,21-04-2025 23:56,01:cd:47:4a:70:95:49,172.30.0.2,boot.wim,MSFT Windows 11
responsibility-put-513,58:22:94:26:f8:2a,,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",,,23-04-2025 17:25,01:58:22:94:26:f8:2a,172.16.0.2,ipxe.efi,udhcp-client
standard-wife-653,61:8a:9a:73:2c:d0,192.168.0.105,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,18-04-2025 17:39,20-04-2025 01:39,01:61:8a:9a:73:2c:d0,192.168.0.2,bootx64.efi,
station-series-383,e1:79:01:9f:a7:37,172.16.0.97,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",example.com,21-04-2025 08:42,,01:e1:79:01:9f:a7:37,172.16.0.2,undionly.kpxe,Windows 11
order-often-301,42:7a:5c:1e:2a:80,172.30.0.140,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,20-04-2025 10:31,23-04-2025 11:31,01:42:7a:5c:1e:2a:80,172.30.0.2,,MSFT Windows 11
us-boy-907,2d:84:2c:28:47:6b,192.168.0.175,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",internal.org,17-04-2025 03:10,19-04-2025 09:10,01:2d:84:2c:28:47:6b,192.168.0.2,boot.wim,Windows 5.0
run-kitchen-851,df:27:55:b9:23:f3,172.16.0.114,255.255.255.0,172.16.0.1,"9.9.9.9, 149.112.112.112",enterprise.net,19-04-2025 22:37,21-04-2025 18:37,01:df:27:55:b9:23:f3,172.16.0.2,bootx64.efi,Microsoft Windows 5.0
science-nor-830,f6:f7:63:ea:fc:b7,192.168.0.43,255.255.255.0,192.168.0.1,"208.67.222.222, 208.67.220.220",company.local,19-04-2025 14:15,24-04-2025 21:15,01:f6:f7:63:ea:fc:b7,192.168.0.2,ipxe.efi,udhcp
side-pass-883,f1:a1:68:f4:e5:90,10.10.10.226,255.255.255.0,10.10.10.1,"64.6.64.6, 64.6.65.6",corp.local,16-04-2025 07:15,22-04-2025 07:15,01:f1:a1:68:f4:e5:90,10.10.10.2,boot.wim,Win 5.0
possible-TV-782,91:cf:dc:35:00:38,10.0.0.186,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",internal.org,22-04-2025 06:49,27-04-2025 00:49,01:91:cf:dc:35:00:38,10.0.0.2,,iOS Device
senior-series-706,38:b0:ff:fa:da:0a,172.30.0.135,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",corp.local,,21-04-2025 23:56,01:38:b0:ff:fa:da:0a,172.30.0.2,,Win 10
drug-safe-262,e4:76:fb:17:47:07,172.16.0.140,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",internal.org,17-04-2025 10:38,18-04-2025 18:38,01:e4:76:fb:17:47:07,172.16.0.2,,Linux OS
rather-prove-475,fb:c6:e6:c4:fa:6c,,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",corp.local,22-04-2025 08:50,29-04-2025 00:50,01:fb:c6:e6:c4:fa:6c,172.16.0.2,ipxe.efi,MSFT 5.0
writer-so-469,9b:83:ed:1d:60:ac,172.30.0.81,255.255.0.0,172.30.0.1,"9.9.9.9, 149.112.112.112",company.local,20-04-2025 11:34,23-04-2025 06:34,01:9b:83:ed:1d:60:ac,172.30.0.2,pxeboot.0,Win 10
like-money-171,07:39:52:17:e6:70,10.0.0.60,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",corp.local,19-04-2025 07:26,25-04-2025 01:26,01:07:39:52:17:e6:70,10.0.0.2,undionly.kpxe,Apple Device
away-rather-690,83:99:d0:e8:87:07,172.16.0.38,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",internal.org,16-04-2025 13:45,21-04-2025 15:45,01:83:99:d0:e8:87:07,172.16.0.2,boot.wim,udhcp Client
budget-think-375,07:a0:b7:b0:4b:44,192.168.0.108,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,16-04-2025 03:59,,,192.168.0.2,,
nothing-within-867,39:d4:fb:eb:9e:15,172.16.0.37,255.255.255.0,172.16.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 22:15,27-04-2025 03:15,01:39:d4:fb:eb:9e:15,172.16.0.2,,udhcp-1.24.1
agent-responsibility-865,a3:f4:c2:42:16:58,,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",internal.org,17-04-2025 16:27,19-04-2025 15:27,01:a3:f4:c2:42:16:58,10.10.10.2,ipxe.efi,Microsoft 5.0
technology-team-906,5e:3b:98:b0:76:9a,10.10.10.127,255.255.255.0,10.10.10.1,"9.9.9.9, 149.112.112.112",internal.org,16-04-2025 05:21,,01:5e:3b:98:b0:76:9a,10.10.10.2,,Win 11
direction-couple-888,eb:f7:2d:46:3c:10,172.16.0.234,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",enterprise.net,17-04-2025 11:10,23-04-2025 00:10,01:eb:f7:2d:46:3c:10,172.16.0.2,,DHCP Client
want-hotel-478,60:53:07:8c:cb:32,10.10.10.74,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",corp.local,22-04-2025 13:23,28-04-2025 08:23,01:60:53:07:8c:cb:32,10.10.10.2,,Linux Device
system-glass-25,2e:c6:4b:cc:3a:91,192.168.0.163,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",corp.local,17-04-2025 16:16,21-04-2025 09:16,01:2e:c6:4b:cc:3a:91,192.168.0.2,boot.wim,Android OS
the-think-804,7f:e6:c5:3e:f2:bb,192.168.0.44,255.255.255.0,192.168.0.1,"9.9.9.9, 149.112.112.112",example.com,,29-04-2025 05:38,01:7f:e6:c5:3e:f2:bb,192.168.0.2,bootx64.efi,GNU/Linux
worry-team-430,43:7a:52:bd:7b:46,172.30.0.50,255.255.0.0,172.30.0.1,,enterprise.net,18-04-2025 22:00,24-04-2025 06:00,01:43:7a:52:bd:7b:46,172.30.0.2,undionly.kpxe,Windows 11
really-wife-207,b3:fc:ea:74:d9:b5,192.168.0.159,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",enterprise.net,19-04-2025 21:40,21-04-2025 06:40,01:b3:fc:ea:74:d9:b5,192.168.0.2,,MSFT Windows 11
sure-responsibility-513,f5:4a:e8:5f:e4:4e,10.0.0.89,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",company.local,21-04-2025 12:10,26-04-2025 03:10,01:f5:4a:e8:5f:e4:4e,10.0.0.2,ipxe.efi,Windows 6.0
also-east-569,15:93:3b:43:27:04,192.168.0.189,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",enterprise.net,22-04-2025 08:45,25-04-2025 20:45,01:15:93:3b:43:27:04,192.168.0.2,bootx64.efi,Win 10
agency-budget-884,,10.0.0.115,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",,19-04-2025 23:59,25-04-2025 09:59,01:fa:6c:dc:b3:2a:f0,10.0.0.2,undionly.kpxe,Android OS
black-heavy-644,ad:f2:21:4b:27:99,,255.255.255.0,10.10.10.1,"208.67.222.222, 208.67.220.220",enterprise.net,20-04-2025 05:03,27-04-2025 04:03,01:ad:f2:21:4b:27:99,10.10.10.2,pxeboot.0,Android-DHCP
thus-beat-206,6f:c5:de:f6:92:bf,172.30.0.203,255.255.0.0,172.30.0.1,"8.8.8.8, 8.8.4.4",internal.org,20-04-2025 18:12,26-04-2025 22:12,01:6f:c5:de:f6:92:bf,172.30.0.2,undionly.kpxe,Linux
my-beat-327,26:4a:34:7e:26:f0,192.168.0.6,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",company.local,21-04-2025 04:00,23-04-2025 15:00,01:26:4a:34:7e:26:f0,192.168.0.2,boot.wim,Microsoft Windows 5.0
sing-get-538,0a:63:b5:3f:02:1c,192.168.0.81,255.255.255.0,192.168.0.1,,corp.local,,20-04-2025 15:04,01:0a:63:b5:3f:02:1c,192.168.0.2,bootx64.efi,DHCP-Client
away-boy-49,8c:4c:3c:92:76:6d,,255.255.255.0,10.0.0.1,"1.1.1.1, 1.0.0.1",company.local,15-04-2025 22:30,20-04-2025 21:30,01:8c:4c:3c:92:76:6d,10.0.0.2,boot.wim,Win 5.0
science-early-87,0e:8d:3b:15:66:c9,,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",example.com,18-04-2025 03:40,20-04-2025 09:40,01:0e:8d:3b:15:66:c9,192.168.0.2,undionly.kpxe,MSFT 6.0
help-entire-499,ee:b4:e7:24:71:7f,172.30.0.23,255.255.0.0,172.30.0.1,"1.1.1.1, 1.0.0.1",enterprise.net,15-04-2025 20:24,22-04-2025 16:24,01:ee:b4:e7:24:71:7f,172.30.0.2,pxeboot.0,Apple Device
blue-miss-37,3d:87:23:c3:17:e6,,255.255.255.0,10.0.0.1,"8.8.8.8, 8.8.4.4",corp.local,22-04-2025 05:01,27-04-2025 12:01,01:3d:87:23:c3:17:e6,10.0.0.2,,Apple-Device
reason-job-34,80:5c:ef:6a:6d:82,192.168.0.246,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,16-04-2025 05:25,19-04-2025 17:25,01:80:5c:ef:6a:6d:82,192.168.0.2,,DHCP Client
system-east-630,93:31:d5:76:98:c0,172.16.0.10,255.255.255.0,172.16.0.1,,company.local,19-04-2025 18:13,25-04-2025 12:13,01:93:31:d5:76:98:c0,172.16.0.2,bootx64.efi,Android-dhcp-13.0.0
technology-wife-261,97:76:1c:42:ce:01,172.16.0.130,255.255.255.0,172.16.0.1,"1.1.1.1, 1.0.0.1",corp.local,,27-04-2025 23:29,01:97:76:1c:42:ce:01,172.16.0.2,ipxe.efi,MSFT Windows 10
help-go-101,da:fc:78:bb:6d:e0,,255.255.255.0,172.16.0.1,"1.1.1.1, 1.0.0.1",example.com,21-04-2025 01:09,27-04-2025 20:09,01:da:fc:78:bb:6d:e0,172.16.0.2,,udhcp Client
find-rather-735,45:3f:52:4c:4a:19,10.10.10.152,255.255.255.0,10.10.10.1,"9.9.9.9, 149.112.112.112",company.local,17-04-2025 16:22,22-04-2025 03:22,01:45:3f:52:4c:4a:19,10.10.10.2,,Microsoft Windows 6.0
science-office-481,ea:0f:ec:d1:12:b7,10.10.10.239,255.255.255.0,10.10.10.1,,company.local,16-04-2025 23:33,21-04-2025 21:33,01:ea:0f:ec:d1:12:b7,10.10.10.2,bootx64.efi,Windows 5.0
section-safe-102,0a:7b:6b:38:0e:7b,10.10.10.133,,10.10.10.1,"9.9.9.9, 149.112.112.112",corp.local,20-04-2025 00:19,21-04-2025 13:19,01:0a:7b:6b:38:0e:7b,10.10.10.2,boot.wim,Microsoft 5.0
like-work-455,,172.30.0.228,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",example.com,15-04-2025 18:43,21-04-2025 15:43,01:7f:dd:2d:34:b5:f0,172.30.0.2,pxeboot.0,Apple Device
help-pattern-412,51:77:4c:2e:ca:0a,10.10.10.48,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",internal.org,,24-04-2025 06:25,01:51:77:4c:2e:ca:0a,10.10.10.2,,macOS
woman-believe-553,f0:be:10:48:7c:48,,255.255.255.0,192.168.0.1,"64.6.64.6, 64.6.65.6",enterprise.net,,25-04-2025 02:08,01:f0:be:10:48:7c:48,192.168.0.2,ipxe.efi,Windows 6.0
worry-modern-951,70:26:8b:fb:ca:19,,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",example.com,,23-04-2025 11:36,01:70:26:8b:fb:ca:19,10.0.0.2,,iOS Device
particular-stand-366,98:3e:2f:cc:0e:fa,172.30.0.6,,172.30.0.1,"208.67.222.222, 208.67.220.220",internal.org,19-04-2025 06:04,23-04-2025 05:04,01:98:3e:2f:cc:0e:fa,172.30.0.2,boot.wim,dhcpcd-6.11.5
fight-main-497,18:23:cd:6f:93:f9,10.10.10.146,255.255.255.0,10.10.10.1,"9.9.9.9, 149.112.112.112",corp.local,21-04-2025 22:26,25-04-2025 10:26,01:18:23:cd:6f:93:f9,10.10.10.2,undionly.kpxe,Win 6.0
to-point-992,98:b0:76:9a:63:cd,10.0.0.200,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",enterprise.net,18-04-2025 07:31,23-04-2025 10:31,01:98:b0:76:9a:63:cd,10.0.0.2,undionly.kpxe,GNU/Linux
some-rather-694,7c:04:f7:45:e2:e9,172.30.0.33,255.255.0.0,172.30.0.1,"208.67.222.222, 208.67.220.220",internal.org,18-04-2025 13:27,20-04-2025 05:27,01:7c:04:f7:45:e2:e9,172.30.0.2,,Win 10
sea-drug-879,ef:f7:22:be:db:f9,192.168.0.42,255.255.255.0,192.168.0.1,"8.8.8.8, 8.8.4.4",company.local,16-04-2025 21:28,18-04-2025 01:28,01:ef:f7:22:be:db:f9,192.168.0.2,undionly.kpxe,MS Win 11
although-believe-757,0b:eb:6c:70:36:5c,172.16.0.216,255.255.255.0,172.16.0.1,"1.1.1.1, 1.0.0.1",enterprise.net,16-04-2025 12:16,,01:0b:eb:6c:70:36:5c,172.16.0.2,pxeboot.0,Win 11
budget-thing-597,ee:2a:06:c2:1e:ea,192.168.0.144,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",example.com,16-04-2025 03:16,20-04-2025 21:16,01:ee:2a:06:c2:1e:ea,192.168.0.2,ipxe.efi,Windows 11
help-cover-855,d4:0a:7b:6b:38:0e,172.16.0.90,255.255.255.0,172.16.0.1,"1.1.1.1, 1.0.0.1",example.com,18-04-2025 11:30,23-04-2025 13:30,01:d4:0a:7b:6b:38:0e,172.16.0.2,boot.wim,Windows 10
learn-thing-252,7c:a9:25:56:d3:2a,10.10.10.52,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",company.local,18-04-2025 22:51,21-04-2025 12:51,01:7c:a9:25:56:d3:2a,10.10.10.2,pxeboot.0,macOS
station-light-647,f5:19:3e:b7:c4:93,192.168.0.124,255.255.255.0,,"64.6.64.6, 64.6.65.6",company.local,,23-04-2025 12:40,01:f5:19:3e:b7:c4:93,192.168.0.2,boot.wim,DHCP Client
us-bank-218,c2:c1:7c:fb:15:3c,10.10.10.155,255.255.255.0,10.10.10.1,"8.8.8.8, 8.8.4.4",example.com,17-04-2025 07:56,20-04-2025 11:56,,10.10.10.2,,MSFT Windows 10
financial-animal-360,d7:c3:cc:3f:fd:bf,172.16.0.252,255.255.255.0,172.16.0.1,"208.67.222.222, 208.67.220.220",example.com,17-04-2025 09:24,22-04-2025 07:24,01:d7:c3:cc:3f:fd:bf,172.16.0.2,boot.wim,Apple-iOS
create-moment-836,eb:7d:9d:98:24:92,192.168.0.88,255.255.255.0,192.168.0.1,"208.67.222.222, 208.67.220.220",corp.local,20-04-2025 19:09,21-04-2025 22:09,01:eb:7d:9d:98:24:92,192.168.0.2,ipxe.efi,MSFT Windows 11
some-office-115,78:76:53:a1:3a:7e,10.0.0.34,255.255.255.0,10.0.0.1,"64.6.64.6, 64.6.65.6",internal.org,16-04-2025 14:43,20-04-2025 17:43,01:78:76:53:a1:3a:7e,10.0.0.2,,Win 5.0
black-expect-903,d4:15:d1:ba:83:14,192.168.0.40,255.255.255.0,,"8.8.8.8, 8.8.4.4",,20-04-2025 11:14,23-04-2025 00:14,01:d4:15:d1:ba:83:14,192.168.0.2,boot.wim,MSFT Windows 10
worry-series-898,89:0b:24:9a:a5:62,10.0.0.128,255.255.255.0,10.0.0.1,"208.67.222.222, 208.67.220.220",example.com,16-04-2025 12:12,17-04-2025 20:12,01:89:0b:24:9a:a5:62,10.0.0.2,boot.wim,udhcp-1.24.1
to-entire-698,e4:9a:d0:fb:ae:84,192.168.0.69,255.255.255.0,192.168.0.1,"1.1.1.1, 1.0.0.1",example.com,15-04-2025 16:36,19-04-2025 18:36,01:e4:9a:d0:fb:ae:84,192.168.0.2,undionly.kpxe,Win 10
plan-often-469,,172.16.0.225,255.255.255.0,,"208.67.222.222, 208.67.220.220",company.local,,20-04-2025 09:43,01:91:00:cd:1a:dd:01,172.16.0.2,boot.wim,Microsoft Windows 5.0
behind-often-570,df:59:f0:8a:65:88,10.10.10.82,255.255.255.0,10.10.10.1,"1.1.1.1, 1.0.0.1",enterprise.net,18-04-2025 02:54,21-04-2025 22:54,01:df:59:f0:8a:65:88,10.10.10.2,bootx64.efi,DHCP-Client
