Name,Operating System,MAC Address,IP Address,Default Gateway,Lease start date,Domain,DNS Domain,Range,Due
month-break-558,Windows Server 2022 Standard,52:17:e6:70:3c:e8,10.0.0.123,10.0.0.1,17-04-2025 08:51,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,17-05-2025 08:51
thus-someone-948,Windows Server 2022 Standard,96:77:ab:43:10:26,10.0.0.57,10.0.0.1,18-04-2025 09:23,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 09:23
single-office-727,Windows Server 2022 Standard,2a:2c:80:15:f4:40,10.10.10.75,10.10.10.1,15-04-2025 22:09,corp.local,"1.1.1.1, 1.0.0.1",255.255.255.0,15-05-2025 22:09
season-job-43,Windows Server 2022 Standard,16:eb:be:e6:47:b1,10.10.10.217,,16-04-2025 02:23,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,
season-job_43,Windows Server 2022 Standard,16:eb:be:e6:47:b1,17.11.15.227,,23-04-2025 08:52,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,
particularly-animal-77,Windows Server 2022 Standard,2b:48:99:5e:6b:ae,10.0.0.24,10.0.0.1,16-04-2025 08:09,enterprise.net,,255.255.255.0,16-05-2025 08:09
writer-bank-149,Linux,d1:6b:07:a5:db:bb,10.0.0.51,10.0.0.1,,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,30-01-1900 00:00
senior-boy-437,Windows Server 2019 Standard,b2:87:81:b1:45:ef,172.30.0.100,172.30.0.1,21-04-2025 11:08,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.0.0,21-05-2025 11:08
thus-whatever-459,Windows Server 2019 Standard,cb:46:d0:e1:27:03,172.16.0.248,172.16.0.1,20-04-2025 23:04,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,20-05-2025 23:04
possible-sort-281,Windows Server 2022 Standard,24:f8:ee:6a:a1:4e,172.30.0.37,172.30.0.1,17-04-2025 20:25,corp.local,"64.6.64.6, 64.6.65.6",255.255.0.0,17-05-2025 20:25
some-gas-799,Ubuntu,05:ec:80:55:ef:1e,10.0.0.40,10.0.0.1,18-04-2025 12:49,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,18-05-2025 12:49
s0me-gas-799,Linux,05:ec:80:55:ef:1e,10.0.0.40,10.0.0.1,18-04-2025 12:49,example.com,"9.9.9.9, 149.112.112.112",255.255.255.0,18-05-2025 12:49
run-believe-497,Ubuntu,,172.30.0.168,172.30.0.1,19-04-2025 02:26,corp.local,"8.8.8.8, 8.8.4.4",255.255.0.0,19-05-2025 02:26
run-believe-49t,Ubuntu,,172.30.0.168,172.30.0.1,19-04-2025 02:26,corp.local,"8.8.8.8, 8.8.4.4",255.255.0.0,19-05-2025 02:26
run-beli3ve-497,,,172.30.0.168,172.30.0.1,19-04-2025 02:26,corp.local,"8.8.8.8, 8.8.4.4",255.255.0.0,19-05-2025 02:26
president-the-416,Ubuntu 1.24.1,d5:d8:41:3b:24:fa,192.168.0.226,192.168.0.1,15-04-2025 20:19,,"64.6.64.6, 64.6.65.6",255.255.255.0,15-05-2025 20:19
the-traditional-36,Ubuntu 13.0.0,,172.30.0.239,172.30.0.1,,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.0.0,30-01-1900 00:00
senior-the-172,Linux,b3:6a:13:51:18:65,192.168.0.61,192.168.0.1,20-04-2025 11:42,company.local,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 11:42
help-point-513,Ubuntu,3b:c1:ca:53:9b:4f,172.30.0.122,172.30.0.1,17-04-2025 01:54,,"9.9.9.9, 149.112.112.112",255.255.0.0,17-05-2025 01:54
occur-feeling-901,Linux,df:b0:70:26:e4:8a,172.30.0.155,172.30.0.1,20-04-2025 22:30,corp.local,"8.8.8.8, 8.8.4.4",255.255.0.0,20-05-2025 22:30
budget-moment-122,Linux,a5:f1:a6:af:28:a9,172.16.0.141,172.16.0.1,22-04-2025 06:38,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,22-05-2025 06:38
buclget-moment-122,Ubuntu 6.11.5,a5:f1:a6:af:28:a9,172.16.0.141,172.16.0.1,22-04-2025 06:38,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,22-05-2025 06:38
agency-not-510,Windows Server 2019 Standard,fa:93:31:d5:76:98,172.16.0.30,172.16.0.1,22-04-2025 10:01,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,22-05-2025 10:01
agency-not 510,Ubuntu,fa:93:31:d5:76:98,172.16.0.30,172.16.0.1,22-04-2025 10:01,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,22-05-2025 10:01
type-surface-767,Windows Server 2019 Standard,1b:dc:98:6f:81:ce,172.30.0.162,172.30.0.1,18-04-2025 03:44,corp.local,"1.1.1.1, 1.0.0.1",255.255.0.0,18-05-2025 03:44
typ3-surface-767,Windows Server 2019 Standard,1b:dc:98:6f:81:ce,172.30.0.162,172.30.0.1,18-04-2025 03:44,corp.local,"1.1.1.1, 1.0.0.1",255.255.0.0,18-05-2025 03:44
occur-article-467,Linux,b2:0d:f0:d2:95:d4,10.0.0.184,10.0.0.1,20-04-2025 11:28,company.local,"9.9.9.9, 149.112.112.112",255.255.255.0,20-05-2025 11:28
occur-artiule-467,Linux,b2:0d:f0:d2:95:d4,10.0.0.184,10.0.0.1,20-04-2025 11:28,company.local,"9.9.9.9, 149.112.112.112",255.255.255.0,20-05-2025 11:28
to-edge-878,Windows Server 2022 Standard,52:a1:7e:d5:6b:2b,10.10.10.113,10.10.10.1,22-04-2025 01:35,enterprise.net,"208.67.222.222, 208.67.220.220",,22-05-2025 01:35
4o-edge-878,Ubuntu 1.24.1,52:a1:7e:d5:6b:2b,10.10.10.113,10.10.10.1,22-04-2025 01:35,enterprise.net,"208.67.222.222, 208.67.220.220",,22-05-2025 01:35
t0-edge-878,Windows Server 2019 Standard,52:a1:7e:d5:6b:2b,10.10.10.113,10.10.10.1,22-04-2025 01:35,enterprise.net,"208.67.222.222, 208.67.220.220",,22-05-2025 01:35
woman-bank-456,Linux,26:63:e2:31:ff:45,10.10.10.110,10.10.10.1,17-04-2025 16:38,example.com,"208.67.222.222, 208.67.220.220",255.255.255.0,17-05-2025 16:38
vvoman-bank-456,Windows 6.0,26:63:e2:31:ff:45,10.10.10.110,10.10.10.1,17-04-2025 16:38,example.com,"208.67.222.222, 208.67.220.220",255.255.255.0,17-05-2025 16:38
wornan-bank-456,Windows Server 2022 Standard,26:63:e2:31:ff:45,10.10.10.110,10.10.10.1,17-04-2025 16:38,example.com,"208.67.222.222, 208.67.220.220",255.255.255.0,17-05-2025 16:38
writer-gas-415,Linux,ba:16:0b:4e:e7:2b,192.168.0.12,192.168.0.1,20-04-2025 14:03,example.com,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 14:03
writen-gas-415,Windows Server 2022 Standard,ba:16:0b:4e:e7:2b,192.168.0.12,192.168.0.1,20-04-2025 14:03,example.com,"8.8.8.8, 8.8.4.4",255.255.255.0,20-05-2025 14:03
my-someone-546,Windows Server 2022 Standard,ee:a6:25:b5:de:7f,10.10.10.199,10.10.10.1,20-04-2025 13:56,company.local,"1.1.1.1, 1.0.0.1",255.255.255.0,20-05-2025 13:56
agent-develop-854,Windows Server 2022 Standard,7a:2e:ea:b5:59:9e,10.0.0.54,10.0.0.1,16-04-2025 16:45,internal.org,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 16:45
visit-business-705,Windows Server 2022 Standard,52:00:b9:41:3d:db,10.10.10.120,10.10.10.1,17-04-2025 21:22,enterprise.net,"64.6.64.6, 64.6.65.6",255.255.255.0,17-05-2025 21:22
save-push-275,Windows Server 2022 Standard,44:53:75:96:fc:f3,10.10.10.145,10.10.10.1,17-04-2025 12:16,example.com,"64.6.64.6, 64.6.65.6",255.255.255.0,17-05-2025 12:16
sqve-push-275,Linux,44:53:75:96:fc:f3,10.10.10.145,10.10.10.1,17-04-2025 12:16,example.com,"64.6.64.6, 64.6.65.6",255.255.255.0,17-05-2025 12:16
same-beat-814,Windows Server 2019 Standard,97:e3:9f:d9:60:2e,192.168.0.229,192.168.0.1,18-04-2025 15:20,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 15:20
same-bea7-814,Windows Server 2019 Standard,97:e3:9f:d9:60:2e,192.168.0.229,192.168.0.1,18-04-2025 15:20,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 15:20
same beat-814,Windows Server 2022 Standard,97:e3:9f:d9:60:2e,192.168.0.229,192.168.0.1,18-04-2025 15:20,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 15:20
decision-bank-861,Ubuntu,d8:4d:df:27:55:b9,192.168.0.173,192.168.0.1,18-04-2025 12:27,,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 12:27
president-professional-123,Linux,9b:22:75:c6:77:c6,10.0.0.203,10.0.0.1,16-04-2025 11:39,example.com,"208.67.222.222, 208.67.220.220",255.255.255.0,16-05-2025 11:39
drug-article-331,Ubuntu,8a:ea:2f:59:d7:20,10.10.10.148,10.10.10.1,18-04-2025 18:10,internal.org,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 18:10
find-so-18,Ubuntu,e3:e3:8b:4a:6e:5e,192.168.0.179,192.168.0.1,20-04-2025 11:26,enterprise.net,"1.1.1.1, 1.0.0.1",255.255.255.0,20-05-2025 11:26
senior-no-560,,e7:ab:30:03:72:d5,,172.30.0.1,16-04-2025 17:54,corp.local,"208.67.222.222, 208.67.220.220",255.255.0.0,16-05-2025 17:54
ten-push-140,Ubuntu 1.24.1,28:b6:6d:fe:81:49,172.30.0.137,172.30.0.1,16-04-2025 00:53,company.local,"208.67.222.222, 208.67.220.220",255.255.0.0,16-05-2025 00:53
ten-push-1a0,Ubuntu 13.0.0,28:b6:6d:fe:81:49,179.38.3.137,172.30.0.1,19-04-2025 16:19,company.local,"208.67.222.222, 208.67.220.220",255.255.0.0,19-05-2025 16:19
ten-pwsh-140,Linux,28:b6:6d:fe:81:49,173.30.9.144,172.30.0.1,24-04-2025 02:52,company.local,"208.67.222.222, 208.67.220.220",255.255.0.0,24-05-2025 02:52
agent-heavy-439,Ubuntu,26:8b:fb:ca:19:03,10.0.0.16,10.0.0.1,16-04-2025 05:53,company.local,,255.255.255.0,16-05-2025 05:53
agent_heavy-439,Linux,26:8b:fb:ca:19:03,17.3.9.23,10.0.0.1,19-04-2025 13:16,company.local,,255.255.255.0,19-05-2025 13:16
agent-heavj-439,Linux,26:8b:fb:ca:19:03,11.10.8.20,10.0.0.1,26-04-2025 11:16,company.local,,255.255.255.0,26-05-2025 11:16
fight-human-313,Ubuntu 6.11.5,9a:80:82:16:a1:22,172.16.0.72,172.16.0.1,18-04-2025 18:00,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,18-05-2025 18:00
fight-kuman-313,Windows Server 2019 Standard,9a:80:82:16:a1:22,178.19.10.73,172.16.0.1,23-04-2025 20:49,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,23-05-2025 20:49
fight-human-3l3,Ubuntu,9a:80:82:16:a1:22,176.20.6.73,172.16.0.1,21-04-2025 02:44,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,21-05-2025 02:44
want-moment-757,Windows Server 2019 Standard,77:6b:5d:92:23:c7,192.168.0.182,192.168.0.1,18-04-2025 18:13,enterprise.net,,255.255.255.0,18-05-2025 18:13
hundred-bed-527,Windows Server 2019 Standard,2f:c5:de:6d:ff:15,172.16.0.154,172.16.0.1,16-04-2025 03:06,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,16-05-2025 03:06
kundred-bed-527,Linux,2f:c5:de:6d:ff:15,175.21.8.158,172.16.0.1,21-04-2025 14:33,enterprise.net,"8.8.8.8, 8.8.4.4",255.255.255.0,21-05-2025 14:33
paper-human-480,Linux,80:f9:6f:51:d2:17,172.30.0.92,172.30.0.1,19-04-2025 21:52,internal.org,"64.6.64.6, 64.6.65.6",255.255.0.0,19-05-2025 21:52
paper-hum4n-480,Windows Server 2022 Standard,80:f9:6f:51:d2:17,172.38.10.101,172.30.0.1,25-04-2025 13:48,internal.org,"64.6.64.6, 64.6.65.6",255.255.0.0,25-05-2025 13:48
want-professional-139,Ubuntu 1.24.1,69:67:d7:3f:00:aa,10.0.0.138,10.0.0.1,20-04-2025 15:49,corp.local,"64.6.64.6, 64.6.65.6",255.255.255.0,20-05-2025 15:49
same-couple-504,Windows Server 2019 Standard,cb:6d:01:b7:d9:33,10.0.0.94,10.0.0.1,,corp.local,"208.67.222.222, 208.67.220.220",255.255.255.0,30-01-1900 00:00
same-couple-5O4,Linux,cb:6d:01:b7:d9:33,10.0.0.94,10.0.0.1,,corp.local,"208.67.222.222, 208.67.220.220",255.255.255.0,30-01-1900 00:00
same-cou9le-504,Windows 6.0,cb:6d:01:b7:d9:33,10.0.0.94,10.0.0.1,,corp.local,"208.67.222.222, 208.67.220.220",255.255.255.0,30-01-1900 00:00
here-business-219,Windows Server 2022 Standard,,,,18-04-2025 18:42,enterprise.net,"208.67.222.222, 208.67.220.220",255.255.255.0,18-05-2025 18:42
according-surface-198,Linux,f0:b9:c1:58:1f:e6,172.16.0.207,172.16.0.1,16-04-2025 23:27,corp.local,"208.67.222.222, 208.67.220.220",255.255.255.0,
WS-IT029,Windows Server 2022 Standard,BC:B6:C4:9D:53:0C,,,,,,255.255.255.0,
WS-IT558,Windows Server 2022 Standard,35:EC:9D:49:E0:DA,,,,,,255.255.255.0,
LT-IT304,Windows Server 2019 Standard,45:FD:C9:3B:4A:13,,,,,,255.255.255.0,
WS-IT035,Windows Server 2022 Standard,2D:3A:96:FE:D5:25,,,,,,255.255.255.0,
LT-IT233,Windows Server 2022 Standard,75:9B:5C:2A:E0:EB,,,,,,255.255.255.0,
LT-IT281,Windows Server 2019 Standard,60:11:51:1B:5D:FD,,,,,,255.255.255.0,
WS-IT592,Windows Server 2019 Standard,71:53:7B:16:F6:33,,,,,,255.255.0.0,
WS-IT192,Windows Server 2022 Standard,CD:F1:AB:0F:D0:EE,,,,,,255.255.255.0,
TB-IT45,Windows Server 2019 Standard,99:7A:11:FC:B6:27,,,,,,255.255.255.0,
LT-IT242,Windows Server 2019 Standard,6D:7E:BE:2F:E3:E4,,,,,,255.255.0.0,
SRV-SQL42,Windows Server 2022 Standard,B1:7A:2E:8C:F2:C3,,,,,,255.255.255.0,
WS-IT715,Windows Server 2019 Standard,25:0F:16:EB:5F:72,,,,,,255.255.0.0,
WS-IT148,Windows Server 2019 Standard,6D:59:2B:37:5B:93,,,,,,255.255.255.0,
WS-IT478,Windows Server 2022 Standard,F9:82:9C:1F:BD:11,,,,,,255.255.255.0,
WS-IT065,Windows Server 2019 Standard,,,,,,,255.255.255.0,
WS-IT550,Windows Server 2022 Standard,,,,,,,255.255.0.0,
WS-IT664,Windows Server 2019 Standard,,,,,,,255.255.255.0,
LT-IT190,Windows Server 2022 Standard,,,,,,,255.255.255.0,
WS-IT264,Windows Server 2022 Standard,,,,,,,255.255.255.0,
WS-IT420,Windows Server 2019 Standard,,,,,,,255.255.255.0,
