v_R_System.Name0,v_GS_NETWORK_ADAPTER_CONFIGURATION.MACAddress0,v_GS_OPERATING_SYSTEM.Caption0,v_R_System.Resource_Domain_OR_Workgr0,v_GS_NETWORK_ADAPTER_CONFIGURATION.IPAddress0,v_GS_PC_BIOS.SerialNumber0,v_GS_SYSTEM_ENCLOSURE.ChassisTypes0,v_R_System.Client_Version0,v_R_System.FQDN,v_GS_NETWORK_ADAPTER_CONFIGURATION.DNSHostName0,v_GS_WORKSTATION_STATUS.LastHWScan,v_GS_COMPUTER_SYSTEM.UserName0,v_R_System.ResourceID,v_GS_COMPUTER_SYSTEM_PRODUCT.UUID0,v_GS_Operating_Status
diskstation-029,,,,172.25.139.225,,,,,,,,,,Operational
diskstation-030,,,,172.25.139.171,1,,,,,,,,,Operational
diskstation-031,,,,172.25.129.119,,,,,,,,,,Operational
diskstation-032,,,,172.25.138.160,,,,,,,,,,Operational
diskstation-033,,,,172.25.129.140,,,,,,,,,,Operational
diskstation-034,,,,172.25.129.180,APM00152918802,,,,,,,,,Operational
DISKSTATION-035,,,,172.25.130.143,,,,,,,,,,Operational
DISKSTATION-036,,,,172.25.149.33,,,,,,,,,,Operational
diskstation-037,,,,172.25.132.144,,,,,,,,,,Operational
diskstation-038,,,,172.25.156.175,,,,,,,,,,Operational
diskstation-039,,,,172.25.130.56,,,,,,,,,,Operational
diskstation-040,,,,172.25.130.16,,,,,,,,,,Operational
diskstation-041,,,,172.25.137.160,,,,,,,,,,Operational
diskstation-042,,,,172.25.137.221,,,,,,,,,,Operational
diskstation-043,,,,172.25.155.139,,,,,,,,,,Operational
diskstation-044,,,,172.25.129.30,,,,,,,,,,Operational
diskstation-045,,,,172.25.129.85,,,,,,,,,,Operational
diskstation-046,,,,172.25.129.43,,,,,,,,Synology DiskStation,,Operational
diskstation-047,,,,172.25.133.15,,,,,,,,,,Operational
diskstation-048,,,,172.25.144.168,,,,,,,,,,Operational
diskstation-049,,,,172.25.136.107,,,,,,,,,,Operational
diskstation-050,,,,172.25.136.46,,,,,,,,,,Operational
diskstation-051,,,,10.68.93.181,,,,,,,,Synology DiskStation,,Operational
diskstation-052,,,,172.25.140.213,,,,,,,,,,Operational
diskstation-053,,,,172.25.149.41,12,,,,,,,,,Operational
diskstation-054,,,,172.25.144.80,,,,,,,,Synology DiskStation,,Operational
diskstation-055,,,,10.126.140.103,CAL8N04423,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
diskstation-056,,,,10.126.140.102,CAL8N04148,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
diskstation-057,,,,172.25.15.173,,,,,,,,,,Operational
diskstation-103,,,,10.126.140.105,,,,,,,,,,Operational
DVE2244P01 - Virtual Platform,,,,40.89.153.111,AUDVUKMNWBSB6Y,,,,,,,,,Operational
e1-nas-1,,,,172.25.57.240,F5LPN01160,,,,Alpha.com,06-01-2024 19:06,,Synology DiskStation,,Operational
e4-nas-1,,,,172.25.62.36,DBLPN01530,,,,Alpha.com,06-08-2024 19:05,,Synology DiskStation,,Operational
e6-nas-1,,,,10.68.223.194,,,,,,5/27/2023 19:26,,Synology DiskStation,,Non-Operational
f1-nas-1,,,,172.25.58.145,E8LPN00507,,,,Alpha.com,05-11-2024 19:03,,Synology DiskStation,,Retired
f2-nas-1,,,,172.25.59.36,EBLPN02005,,,,Alpha.com,3/23/2024 19:03,,Synology DiskStation,,Retired
inmsynasho01n,,,,172.28.106.68,17C1NRN095200,,,,,06-08-2024 19:03,,Synology DiskStation,,Operational
inssynasbo05n,,,,172.28.100.23,1880PDN686606,,,,Alpha.com,06-08-2024 19:05,,Synology DiskStation,,Operational
inssynasbw06n,,,,172.28.101.25,1860NRN029700,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
inssynasch04n,,,,172.28.99.100,1880PEN672804,,,,,06-08-2024 19:02,,Synology DiskStation,,Operational
inssynaser07n,,,,172.28.102.21,1880PDN087107,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
inssynasho02,,,,10.69.172.155,15A1MHN271101,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
inssynasnr03n,,,,10.160.246.16,1880PDN633505,,,,Alpha.com,06-08-2024 19:05,,Synology DiskStation,,Operational
it-bnl-disk2,,,,10.65.62.11,LGKFN93441,,,,Alpha.com,,,IT-BNL-DISK2 - DS412+,,Non-Operational
it-bnl-disk5,,,,10.68.84.22,,,,,,,,,,Operational
it-bnl-disk6,,,,10.68.85.20,,,,,,03-09-2024 20:00,,Synology DiskStation,,Operational
it-bnl-disk7,,,,10.68.90.20,DCLIN03683,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
it-bnl-disk8,,,,10.68.75.9,DCLIN03397,,,,,09-09-2023 19:20,,Synology DiskStation,,Non-Operational
it_bnl_disk1,,,,10.65.62.10,D2LIN01349,,,,eu.Alpha.utc.com,06-08-2024 19:02,,Synology DiskStation,,Operational
it_bnl_disk10,,,,10.68.85.12,,,,,eu.Alpha.utc.com,03-09-2024 20:00,,Synology DiskStation,,Operational
it_bnl_disk2,,,,10.65.62.11,WD20EFRX-68AX9N0,,,,Alpha.com,09-09-2023 19:17,,Synology DiskStation,,Non-Operational
it_bnl_disk4,,,,10.68.84.95,WD20EFRX-68EUZN0,,,,,8/19/2023 19:00,,Synology DiskStation,,Non-Operational
jpmsynas20,,,,172.24.195.22,1850NTN242300,,,,ap.Alpha.utc.com,3/16/2024 19:08,,Synology DiskStation,,Operational
jpssynas01,,,,172.24.208.133,,,,,,8/26/2023 19:05,,UTC02W6RX - Synology DiskStation,,Non-Operational
jpssynas02,,,,172.24.210.135,1,,,,,08-05-2023 19:13,,UTC0247T8 - Synology DiskStation,,Non-Operational
jpssynas03,,,,172.24.209.4,,,,,,08-05-2023 19:38,,UTC02W6S0 - Synology DiskStation,,Non-Operational
jpssynas04,,,,172.24.206.7,,,,,,08-05-2023 19:32,,UTC0247SE - Synology DiskStation,,Non-Operational
jpssynas05,,,,172.24.207.4,,,,,,9/23/2023 19:33,,UTC02W6S2 - Synology DiskStation,,Non-Operational
jpssynas06,,,,172.24.209.133,,,,,,08-05-2023 19:35,,UTC0247R5 - Synology DiskStation,,Non-Operational
jpssynas07,,,,172.24.207.133,,,,,,08-05-2023 19:22,,UTC02W6S4 - Synology DiskStation,,Non-Operational
jpssynas08,,,,172.24.210.3,,,,,,9/23/2023 19:22,,UTC0247P3 - Synology DiskStation,,Non-Operational
jpssynas09,,,,172.24.208.12,,,,,,08-05-2023 19:36,,UTC02W6S6 - Synology DiskStation,,Non-Operational
jpssynas10,,,,172.24.211.4,,,,,,08-05-2023 19:38,,UTC0247T9 - Synology DiskStation,,Non-Operational
jpssynas11,,,,172.24.211.72,,,,,,08-05-2023 19:05,,UTC02W6S8 - Synology DiskStation,,Non-Operational
jpssynas12,,,,172.24.211.132,,,,,,08-05-2023 19:26,,UTC0247SG - Synology DiskStation,,Non-Operational
jpssynas13,,,,172.24.212.68,,,,,,08-05-2023 19:07,,UTC02W6SA - Synology DiskStation,,Non-Operational
jpssynas14,,,,172.24.217.132,,,,,,08-05-2023 19:29,,UTC0247P6 - Synology DiskStation,,Non-Operational
jpssynas15,,,,172.24.200.41,1840PCN924412,,,,Alpha.com,3/30/2024 19:03,,UTC02W6SC - Synology DiskStation,,Operational
jpssynas17,,,,172.24.219.11,,,,,,09-09-2023 19:01,,UTC02W6SD - Synology DiskStation,,Non-Operational
jpssynas18,,,,172.24.220.10,,,,,,07-08-2023 19:36,,UTC02VCQ8 - Synology DiskStation,,Non-Operational
l2-nas-1,,,,172.25.56.163,F1LPN00930,,,,Alpha.com,06-08-2024 19:07,,Synology DiskStation,,Operational
l6-nas-1,,,,172.25.56.6,E8LPN00457,,,,Alpha.com,06-08-2024 19:05,,Synology DiskStation,,Operational
l8-nas-1,,,,172.25.56.35,E8LPN00101,,,,Alpha.com,06-08-2024 19:06,,Synology DiskStation,,Retired
l9-nas-1,,,,172.25.58.195,F1LPN00907,,,,Alpha.com,06-08-2024 19:04,,Synology DiskStation,,Operational
m6-nas-1,,,,172.25.56.200,EBLPN01706,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
m9-nas-1,,,,172.25.61.205,E1LPN00007,,,,Alpha.com,05-04-2024 19:03,,Synology DiskStation,,Non-Operational
naseburg,,,,10.68.18.151,,,,,,,,,,Operational
nashab,,,,10.68.17.92,,,,,,,,,,Operational
naskazan,,,,10.68.18.67,,,,,,,,,,Operational
naskrasnodar,,,,10.68.19.5,,,,,,,,,,Operational
nasmsk,,,,10.68.23.242,,,,,,,,,,Operational
nasmsk2,,,,10.68.22.234,,,,,,,,,,Operational
nasmsk3,,,,10.68.22.251,,,,,,,,,,Operational
nasnovosib,,,,10.68.17.201,,,,,,,,,,Operational
nassol,,,,10.68.19.180,,,,,,,,,,Operational
nasspb1,,,,10.68.20.240,,,,,,,,,,Operational
nasspb2,,,,10.68.20.244,,,,,,,,,,Operational
nasvladimir,,,,10.68.18.40,,,,,,,,,,Operational
nsabbf01,,,,172.25.27.13,,,,,,,,,,Operational
nsacaf01,,,,10.124.14.164,,,,,,,,,,Operational
nsaeyf01,,,,172.25.109.167,,,,,,,,,,Operational
nsafsf01,,,,172.25.125.211,,,,,,,,,,Operational
nsagaf01,,,,172.25.127.15,,,,,,,,,,Operational
nsagrf01,,,,172.25.149.134,,,,,,,,,,Operational
nsamff01,,,,172.25.147.145,,,,,,,,,,Operational
nsamff02,,,,172.25.147.143,,,,,,,,,,Operational
nsapcf01,,,,10.124.118.201,,,,,,,,,,Operational
nsarbf01,,,,172.25.132.15,,,,,,,,,,Operational
nsasaf01,,,,172.25.154.169,,,,,,,,,,Operational
nsasdf01,,,,172.25.27.14,,,,,,,,,,Operational
nsastf01,,,,172.25.146.15,CBKRN03143,,,,eu.Alpha.utc.com,06-01-2024 19:05,,Synology DiskStation,,Retired
nsasvg01 ds414j,,,,172.25.146.16,,,,,,,,,,Operational
nwsusnewi0001pi,,,,159.82.71.203,,,,,,,,,,Operational
nwsusnewi0001pn,,,,159.82.71.195,,,,,,,,,,Operational
nwsusnewi0001px,,,,159.82.71.194,,,,,,,,,,Operational
nwsusnewi0001pz,,,,159.82.71.214,,,,,,,,,,Operational
oaeadn01,,,,172.25.34.176,,,,,,,,,,Operational
oaedun02,,,,10.178.3.175,1,,,,,,,,,Operational
oaedun03,,,,10.178.3.176,1790PJN270400,,,,Alpha.com,06-08-2024 19:06,,Synology DiskStation,,Operational
oaedun04,,,,10.178.3.177,19A0QPR0YHQV8,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Retired
oaedun05,,,,172.25.34.76,,,,,,,,,,Operational
oaedun06,,,,172.25.35.76,,,,,,,,,,Operational
oaesjn01,,,,10.178.5.200,,,,,,,,,,Operational
oatbgn01,,,,10.68.51.95,1761PEN433400,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oatgzn01,,,,172.25.237.35,D9LPN01298,,,,Alpha.com,4/13/2024 19:03,,Synology DiskStation,,Non-Operational
oatinn01,,,,172.25.241.35,15B0NJN937806,,,,Alpha.com,3/30/2024 19:03,,Synology DiskStation,,Non-Operational
oatlzn01,,,,172.25.238.35,D9LPN00254,,,,Alpha.com,06-01-2024 19:03,,Synology DiskStation,,Operational
oatszn01,,,,172.25.240.35,,,,,,01-06-2024 20:00,,Synology DiskStation,,Non-Operational
oatvan01,,,,10.68.52.100,1730NRN436400,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan02,,,,10.68.52.101,13C0LNN001457,,,,,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan03,,,,172.25.239.35,13C0LNN001570,,,,,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan04,,,,172.25.236.35,D9LPN00446,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan05,,,,172.25.242.35,D9LPN01543,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan06,,,,172.25.246.35,E5LPN02464,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oatvan07,,,,172.25.239.38,1430MBN000038,,,,,06-08-2024 19:03,,Synology DiskStation,,Non-Operational
oatwnn01,,,,172.25.239.135,D9LPN00746,,,,Alpha.com,04-06-2024 19:03,,Synology DiskStation,,Non-Operational
obhmsm01,,,,172.25.46.154,obhmsm01,,,,,03-09-2024 20:16,,Synology DiskStation,,Retired
obhmss01,,,,172.25.46.153,,,,,,,,,,Operational
obhmss02,,,,172.25.46.202,,,,,,,,,,Operational
ocamqs01,,,,172.23.174.24,na,,,,,,,,,Non-Operational
oczsyn01,,,,10.68.32.230,1810MNN473600,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oczsyn04,,,,10.68.32.240,17B0MCN282100,,,,Alpha.com,4/20/2024 19:03,,Synology DiskStation,,Operational
oczsyn05,,,,10.124.205.5,17A0PVN605701,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
oczsyn06,,,,10.68.48.6,17C0PVN251201,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oczsyn07,,,,10.68.32.247,1940QZRE7VTR4,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
odeaan01,,,,10.68.175.6,,,,,,6/24/2023 19:06,,Synology DiskStation,,Non-Operational
odeagn01,,,,10.68.165.2,,,,,,07-08-2023 19:22,,Synology DiskStation,,Non-Operational
odeban01,,,,10.68.175.71,,,,,,11/18/2023 20:06,,Synology DiskStation,,Non-Operational
odebdn01,,,,10.68.165.139,,,,,,,,,,Non-Operational
odebln01,,,,10.68.175.130,,,,,,03-09-2024 20:33,,Synology DiskStation,,Non-Operational
odebnn03,,,,10.68.173.7,,,,,,6/24/2023 19:11,,Synology DiskStation,,Non-Operational
odebnn04,,,,10.68.132.4,1550M1N100500,,,,de.eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
odebnn05,,,,10.68.132.5,1550M1N098300,,,,de.eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Non-Operational
odebnn08,,,,10.68.132.189,1790NCN494000,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
odebnn09,,,,10.68.132.190,1790NCN573100,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
odebnn0a,,,,10.68.178.68,,,,,,4/29/2023 19:28,,Synology DiskStation,,Non-Operational
odebrn01,,,,10.68.176.70,,,,,,6/24/2023 19:06,,Synology DiskStation,,Non-Operational
odecbn01,,,,10.68.173.171,,,,,,10/14/2023 19:20,,Synology DiskStation,,Non-Operational
odecen01,,,,10.68.167.131,,,,,,5/27/2023 19:00,,Synology DiskStation,,Non-Operational
odeczn01,,,,10.68.177.4,,,,,,9/16/2023 19:11,,Synology DiskStation,,Non-Operational
odedmn01,,,,10.68.167.9,,,,,,9/23/2023 19:06,,Synology DiskStation,,Non-Operational
odednn01,,,,10.68.170.133,,,,,,03-09-2024 20:05,,Synology DiskStation,,Non-Operational
odedrn01,,,,10.68.177.70,,,,,,09-02-2023 19:01,,Synology DiskStation,,Non-Operational
odefkn01,,,,10.68.177.198,,,,,,5/27/2023 19:00,,Synology DiskStation,,Non-Operational
odefmn03,,,,10.68.184.69,,,,,,12/16/2023 20:22,,Synology DiskStation,,Non-Operational
odefmn05,,,,10.68.164.5,,,,,,9/16/2023 19:27,,Synology DiskStation,,Non-Operational
odefrn01,,,,10.68.178.6,,,,,,,,,,Non-Operational
odehan01,,,,10.68.182.164,,,,,,6/24/2023 19:13,,Synology DiskStation,,Non-Operational
odehbn01,,,,10.68.178.198,,,,,,07-01-2023 19:25,,Synology DiskStation,,Non-Operational
odehgn01,,,,10.68.168.141,,,,,,9/16/2023 19:00,,Synology DiskStation,,Non-Operational
odehln01,,,,10.68.169.7,,,,,,9/30/2023 19:16,,Synology DiskStation,,Non-Operational
odehmn01,,,,10.68.179.7,,,,,,11-11-2023 20:24,,Synology DiskStation,,Non-Operational
odeisn01,,,,10.68.168.102,,,,,,10/21/2023 19:29,,Synology DiskStation,,Non-Operational
odekbn01,,,,10.68.180.70,,,,,,03-09-2024 20:00,,Synology DiskStation,,Non-Operational
odekbn02,,,,10.68.174.67,,,,,,5/20/2023 19:32,,Synology DiskStation,,Non-Operational
odeksn01,,,,10.68.179.134,,,,,,5/27/2023 19:16,,Synology DiskStation,,Non-Operational
odelgn01,,,,10.68.169.130,2150RYR0HJ51P,,,,de.eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
odeman01,,,,10.68.170.7,,,,,,8/26/2023 19:04,,Synology DiskStation,,Non-Operational
odemdn01,,,,10.68.179.70,2110RYRYJR42C,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Non-Operational
odemen01,,,,10.68.170.132,,,,,,,,,,Non-Operational
odemgn01,,,,10.68.163.7,,,,,,9/16/2023 19:31,,Synology DiskStation,,Non-Operational
odemnn02,,,,10.68.160.12,,,,,,09-02-2023 19:01,,Synology DiskStation,,Non-Operational
odenmn01,,,,10.68.181.133,,,,,,9/23/2023 19:00,,Synology DiskStation,,Non-Operational
odenun01,,,,10.68.171.2,,,,,,,,Unknown,,Non-Operational
odergn01,,,,10.68.181.199,,,,,,6/17/2023 19:00,,Synology DiskStation,,Non-Operational
odersn01,,,,10.68.182.7,,,,,,09-02-2023 19:05,,Synology DiskStation,,Non-Operational
odescn01,,,,10.68.173.71,,,,,,,,Unknown,,Non-Operational
odesrn01,,,,10.68.174.5,,,,,,,,,,Non-Operational
odestn01,,,,10.68.171.130,,,,,,3/18/2023 19:01,,Synology DiskStation,,Non-Operational
odewkn01,,,,10.68.172.197,,,,,,,,,,Non-Operational
odewzn01,,,,10.68.174.133,,,,,,9/30/2023 19:13,,Synology DiskStation,,Non-Operational
ofrar-naspmc2,,,,10.126.140.99,1490MAN084501,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ofrgnnas1,,,,172.25.160.42,14B0M2N082300,,,,eu.Alpha.utc.com,06-08-2024 20:00,,Synology DiskStation,,Operational
ofrgnnas2,,,,172.25.160.43,14B0M2N075600,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
OFRPUQ04_Q05-DG02,,,,10.126.140.102,GBJKYR2-DG02,,,,,,,,,Operational
ofrry-nasepc2,,,,172.25.164.35,,,,,eu.Alpha.utc.com,05-08-2022 10:35,,Synology DiskStation,,Non-Operational
ofrry-nasepcphoto,,,,172.25.164.37,1790MSN035000,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ogbabn01,,,,10.68.62.182,,,,,,09-02-2023 19:10,,Synology DiskStation,,Non-Operational
ogbann01,,,,10.68.56.143,18B0PJN368102,,,,Alpha.com,06-01-2024 19:05,,Synology DiskStation,,Operational
ogbben01,,,,172.25.81.4,C7LBN01719,,,,eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogbbfn01,,,,172.25.85.17,18B0PJN072302,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
Ogbbrn01,,,,172.25.81.166,,,,,,,,Synology DiskStation,,Operational
ogbcln01,,,,172.25.84.71,1330LNN000616,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ogbdhn01,,,,172.25.86.74,,,,,,09-02-2023 19:22,,Synology DiskStation,,Non-Operational
ogbedn01,,,,172.25.81.203,1330LNN002442,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogbgln01,,,,172.25.67.133,,,,,,,,,,Operational
ogblen04,,,,10.83.223.21,1880NTN245900,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogblen05,,,,10.83.223.22,1880P9N512600,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ogblon04,,,,10.83.136.16,1880NTN231300,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogblon05,,,,10.83.136.17,1890P9N150500,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ogblpn01,,,,172.25.82.212,1330LNN000127,,,,eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogblrn01,,,,172.25.85.15,1330LNN002278,,,,eu.Alpha.utc.com,06-08-2024 19:02,,Synology DiskStation,,Operational
Ogblsn01,,,,172.25.89.209,,,,,,,,Synology DiskStation,,Operational
ogbstn01,,,,10.68.77.17,1330LNN003972,,,,eu.Alpha.utc.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ogbswn01,,,,10.68.77.13,1960QPRFCQQ5V,,,,eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ogbswn02,,,,10.68.77.14,1970R9RC8MXEG,,,,eu.Alpha.utc.com,06-08-2024 19:02,,Synology DiskStation,,Operational
ohubpn01,,,,10.66.150.35,1670NDN661003,,,,eu.Alpha.utc.com,06-08-2024 19:03,,Synology DiskStation,,Operational
ohubpn02,,,,10.66.150.34,1730NZN897600,,,,Alpha.com,06-08-2024 19:02,,Synology DiskStation,,Operational
oiednn01,,,,172.25.80.5,,,,,,,,,,Operational
oitann01,,,,172.25.8.124,,,,,,03-09-2024 20:21,,Synology DiskStation,,Non-Operational
oitban01,,,,172.25.10.153,DBLPN00762,,,,Alpha.com,3/16/2024 19:03,,Synology DiskStation,,Retired
oitbcn01,,,,172.25.8.139,,,,,,2/24/2024 20:00,,Synology DiskStation,,Non-Operational
oitbgn01,,,,172.25.61.180,,,,,,03-02-2024 20:00,,Synology DiskStation,,Non-Operational
oitbln01,,,,172.25.9.167,DBLPN00641,,,,Alpha.com,3/23/2024 19:04,,Synology DiskStation,,Retired
oitcan01,,,,172.25.10.51,D5LPN00215,,,,Alpha.com,3/14/2024 2:11,,Synology DiskStation,,Retired
oitcpn01,,,,172.25.201.152,EBLPN01859,,,,Alpha.com,06-08-2024 19:03,,Synology DiskStation,,Operational
oitcpn03,,,,172.25.200.80,2210S9RT73D13,,,,Alpha.com,5/25/2024 19:03,,Synology DiskStation,,Operational
oitczn01,,,,172.25.8.180,,,,,,2/24/2024 20:05,,NA - Synology DiskStation,,Non-Operational
oitfln01,,,,172.25.9.55,,,,,,7/29/2023 19:00,,Synology DiskStation,,Non-Operational
oitgvn01,,,,172.25.10.72,,,,,,7/15/2023 19:01,,Synology DiskStation,,Non-Operational
oitlcn01,,,,172.25.8.41,,,,,,09-02-2023 19:23,,Synology DiskStation,,Non-Operational
oitmln01,,,,172.25.60.216,DBLPN00820,,,,Alpha.com,3/23/2024 19:03,,Synology DiskStation,,Retired
oitmsn01,,,,172.25.62.77,na,,,,,,,,,Non-Operational
